HUM-PreScaled,HUM-PreScaledFlags,HUM-Unit,HUM-Slope,HUM-Offset,PM2.5-PreScaled,PM2.5-PreScaledFlags,PM2.5-Unit,PM2.5-Slope,PM2.5-Offset,TEMP-PreScaled,TEMP-PreScaledFlags,TEMP-Unit,TEMP-Slope,TEMP-Offset,NO2-PreScaled,NO2-PreScaledFlags,NO2-Unit,NO2-Slope,NO2-Offset,O3-PreScaled,O3-PreScaledFlags,O3-Unit,O3-Slope,O3-Offset,datetime,PM2_5,humidity,temp,NO2,O3
75.2,Valid,%,1,0,37.94,Valid,ug/m3,1.466,0.0,24.7,Valid,C,1,0,,Optimising,,,,,Optimising,,,,2021-02-22 17:45:00,55.620039999999996,75.2,24.7,,
75.3,Valid,%,1,0,34.39,Valid,ug/m3,1.466,0.0,24.4,Valid,C,1,0,,Optimising,,,,,Optimising,,,,2021-02-22 18:00:00,50.41574,75.3,24.4,,
75.3,Valid,%,1,0,29.75,Valid,ug/m3,1.466,0.0,24.2,Valid,C,1,0,,Optimising,,,,,Optimising,,,,2021-02-22 18:15:00,43.6135,75.3,24.2,,
75.5,Valid,%,1,0,29.94,Valid,ug/m3,1.466,0.0,24.0,Valid,C,1,0,,Optimising,,,,,Optimising,,,,2021-02-22 18:30:00,43.89204,75.5,24.0,,
76.0,Valid,%,1,0,31.47,PM25 Greater Than PM10,ug/m3,1.466,0.0,23.7,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 18:45:00,46.13502,76.0,23.7,,
76.4,Valid,%,1,0,30.51,Valid,ug/m3,1.466,0.0,23.6,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 19:00:00,44.72766,76.4,23.6,,
76.7,Valid,%,1,0,27.78,Valid,ug/m3,1.466,0.0,23.5,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 19:15:00,40.72548,76.7,23.5,,
77.1,Valid,%,1,0,26.45,Valid,ug/m3,1.466,0.0,23.3,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 19:30:00,38.7757,77.1,23.3,,
77.4,Valid,%,1,0,26.28,Valid,ug/m3,1.466,0.0,23.2,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 19:45:00,38.52648,77.4,23.2,,
77.7,Valid,%,1,0,26.88,Valid,ug/m3,1.466,0.0,23.2,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 20:00:00,39.406079999999996,77.7,23.2,,
78.0,Valid,%,1,0,27.35,PM25 Greater Than PM10,ug/m3,1.466,0.0,23.1,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 20:15:00,40.0951,78.0,23.1,,
78.3,Valid,%,1,0,25.72,Valid,ug/m3,1.466,0.0,23.0,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 20:30:00,37.70552,78.3,23.0,,
78.7,Valid,%,1,0,25.63,Valid,ug/m3,1.466,0.0,22.9,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 20:45:00,37.57358,78.7,22.9,,
78.9,Valid,%,1,0,26.71,Valid,ug/m3,1.466,0.0,22.9,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 21:00:00,39.15686,78.9,22.9,,
79.2,Valid,%,1,0,27.62,Valid,ug/m3,1.466,0.0,22.8,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 21:15:00,40.49092,79.2,22.8,,
79.4,Valid,%,1,0,31.5,Deliquescence,ug/m3,1.466,0.0,22.8,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 21:30:00,46.179,79.4,22.8,,
79.6,Valid,%,1,0,31.75,Deliquescence,ug/m3,1.466,0.0,22.7,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 21:45:00,46.5455,79.6,22.7,,
79.8,Valid,%,1,0,31.5,Valid,ug/m3,1.466,0.0,22.7,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 22:00:00,46.179,79.8,22.7,,
80.3,Valid,%,1,0,29.34,Valid,ug/m3,1.466,0.0,22.7,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 22:15:00,43.01244,80.3,22.7,,
80.8,Valid,%,1,0,29.06,Deliquescence,ug/m3,1.466,0.0,22.6,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 22:30:00,42.60196,80.8,22.6,,
81.1,Valid,%,1,0,27.6,Deliquescence,ug/m3,1.466,0.0,22.5,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 22:45:00,40.461600000000004,81.1,22.5,,
81.3,Valid,%,1,0,26.72,Valid,ug/m3,1.466,0.0,22.5,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 23:00:00,39.17152,81.3,22.5,,
81.6,Valid,%,1,0,31.24,Valid,ug/m3,1.466,0.0,22.4,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 23:15:00,45.797839999999994,81.6,22.4,,
82.1,Valid,%,1,0,33.18,Valid,ug/m3,1.466,0.0,22.3,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 23:30:00,48.64188,82.1,22.3,,
82.3,Valid,%,1,0,34.81,Deliquescence,ug/m3,1.466,0.0,22.2,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-22 23:45:00,51.03146,82.3,22.2,,
82.5,Valid,%,1,0,31.74,Valid,ug/m3,1.466,0.0,22.1,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-23 00:00:00,46.53084,82.5,22.1,,
82.8,Valid,%,1,0,31.5,Valid,ug/m3,1.466,0.0,22.0,Valid,C,1,0,,Stabilising,,,,,Stabilising,,,,2021-02-23 00:15:00,46.179,82.8,22.0,,
