O3-PreScaled,O3-PreScaledFlags,O3-Unit,O3-Slope,O3-Offset,PM2.5-PreScaled,PM2.5-PreScaledFlags,PM2.5-Unit,PM2.5-Slope,PM2.5-Offset,TEMP-PreScaled,TEMP-PreScaledFlags,TEMP-Unit,TEMP-Slope,TEMP-Offset,NO2-PreScaled,NO2-PreScaledFlags,NO2-Unit,NO2-Slope,NO2-Offset,HUM-PreScaled,HUM-PreScaledFlags,HUM-Unit,HUM-Slope,HUM-Offset,datetime,PM2_5,humidity,temp,NO2,O3
,Optimising,,,,,Unknown Error,,,,25.1,Valid,C,1,0,,Optimising,,,,74.0,Valid,%,1,0,2021-02-22 17:30:00,,74.0,25.1,,
,Optimising,,,,30.01,Valid,ug/m3,2.155,0.0,25.0,Valid,C,1,0,,Optimising,,,,74.4,Valid,%,1,0,2021-02-22 17:45:00,64.67155,74.4,25.0,,
,Optimising,,,,28.29,PM25 Greater Than PM10,ug/m3,2.155,0.0,24.6,Valid,C,1,0,,Optimising,,,,74.7,Valid,%,1,0,2021-02-22 18:00:00,60.964949999999995,74.7,24.6,,
,Optimising,,,,25.11,PM25 Greater Than PM10,ug/m3,2.155,0.0,24.3,Valid,C,1,0,,Optimising,,,,74.8,Valid,%,1,0,2021-02-22 18:15:00,54.112049999999996,74.8,24.3,,
116.9,Valid,ug/m3,1.0,5.0,24.86,PM25 Greater Than PM10,ug/m3,2.155,0.0,24.1,Valid,C,1,0,8.9,Valid,ug/m3,1.0,0.0,75.2,Valid,%,1,0,2021-02-22 18:30:00,53.573299999999996,75.2,24.1,8.9,121.9
,Stabilising,,,,25.98,PM25 Greater Than PM10,ug/m3,2.155,0.0,23.9,Valid,C,1,0,,Stabilising,,,,75.7,Valid,%,1,0,2021-02-22 18:45:00,55.9869,75.7,23.9,,
,Stabilising,,,,25.17,PM25 Greater Than PM10,ug/m3,2.155,0.0,23.7,Valid,C,1,0,,Stabilising,,,,76.1,Valid,%,1,0,2021-02-22 19:00:00,54.24135,76.1,23.7,,
,Stabilising,,,,23.08,PM25 Greater Than PM10,ug/m3,2.155,0.0,23.6,Valid,C,1,0,,Stabilising,,,,76.4,Valid,%,1,0,2021-02-22 19:15:00,49.737399999999994,76.4,23.6,,
,Stabilising,,,,22.22,PM25 Greater Than PM10,ug/m3,2.155,0.0,23.4,Valid,C,1,0,,Stabilising,,,,76.8,Valid,%,1,0,2021-02-22 19:30:00,47.8841,76.8,23.4,,
,Stabilising,,,,22.01,PM25 Greater Than PM10,ug/m3,2.155,0.0,23.3,Valid,C,1,0,,Stabilising,,,,77.1,Valid,%,1,0,2021-02-22 19:45:00,47.43155,77.1,23.3,,
,Stabilising,,,,22.62,PM25 Greater Than PM10,ug/m3,2.155,0.0,23.3,Valid,C,1,0,,Stabilising,,,,77.4,Valid,%,1,0,2021-02-22 20:00:00,48.7461,77.4,23.3,,
,Stabilising,,,,22.87,Valid,ug/m3,2.155,0.0,23.2,Valid,C,1,0,,Stabilising,,,,77.7,Valid,%,1,0,2021-02-22 20:15:00,49.28485,77.7,23.2,,
,Stabilising,,,,21.78,PM25 Greater Than PM10,ug/m3,2.155,0.0,23.1,Valid,C,1,0,,Stabilising,,,,78.1,Valid,%,1,0,2021-02-22 20:30:00,46.9359,78.1,23.1,,
,Stabilising,,,,21.63,PM25 Greater Than PM10,ug/m3,2.155,0.0,23.0,Valid,C,1,0,,Stabilising,,,,78.4,Valid,%,1,0,2021-02-22 20:45:00,46.612649999999995,78.4,23.0,,
,Stabilising,,,,22.3,PM25 Greater Than PM10,ug/m3,2.155,0.0,22.9,Valid,C,1,0,,Stabilising,,,,78.7,Valid,%,1,0,2021-02-22 21:00:00,48.0565,78.7,22.9,,
,Stabilising,,,,22.97,PM25 Greater Than PM10,ug/m3,2.155,0.0,22.9,Valid,C,1,0,,Stabilising,,,,79.0,Valid,%,1,0,2021-02-22 21:15:00,49.50034999999999,79.0,22.9,,
,Stabilising,,,,25.68,Deliquescence,ug/m3,2.155,0.0,22.9,Valid,C,1,0,,Stabilising,,,,79.2,Valid,%,1,0,2021-02-22 21:30:00,55.340399999999995,79.2,22.9,,
,Stabilising,,,,25.82,Deliquescence,ug/m3,2.155,0.0,22.8,Valid,C,1,0,,Stabilising,,,,79.4,Valid,%,1,0,2021-02-22 21:45:00,55.64209999999999,79.4,22.8,,
,Stabilising,,,,25.93,Valid,ug/m3,2.155,0.0,22.8,Valid,C,1,0,,Stabilising,,,,79.7,Valid,%,1,0,2021-02-22 22:00:00,55.879149999999996,79.7,22.8,,
,Stabilising,,,,24.51,PM25 Greater Than PM10,ug/m3,2.155,0.0,22.8,Valid,C,1,0,,Stabilising,,,,80.1,Valid,%,1,0,2021-02-22 22:15:00,52.81905,80.1,22.8,,
,Stabilising,,,,23.83,Deliquescence,ug/m3,2.155,0.0,22.7,Valid,C,1,0,,Stabilising,,,,80.6,Valid,%,1,0,2021-02-22 22:30:00,51.353649999999995,80.6,22.7,,
,Stabilising,,,,23.24,Deliquescence,ug/m3,2.155,0.0,22.6,Valid,C,1,0,,Stabilising,,,,80.9,Valid,%,1,0,2021-02-22 22:45:00,50.08219999999999,80.9,22.6,,
,Stabilising,,,,22.5,PM25 Greater Than PM10,ug/m3,2.155,0.0,22.5,Valid,C,1,0,,Stabilising,,,,81.1,Valid,%,1,0,2021-02-22 23:00:00,48.4875,81.1,22.5,,
,Stabilising,,,,25.75,Valid,ug/m3,2.155,0.0,22.5,Valid,C,1,0,,Stabilising,,,,81.4,Valid,%,1,0,2021-02-22 23:15:00,55.491249999999994,81.4,22.5,,
,Stabilising,,,,27.18,Valid,ug/m3,2.155,0.0,22.4,Valid,C,1,0,,Stabilising,,,,81.8,Valid,%,1,0,2021-02-22 23:30:00,58.5729,81.8,22.4,,
,Stabilising,,,,27.68,Deliquescence,ug/m3,2.155,0.0,22.3,Valid,C,1,0,,Stabilising,,,,82.0,Valid,%,1,0,2021-02-22 23:45:00,59.65039999999999,82.0,22.3,,
,Stabilising,,,,25.48,PM25 Greater Than PM10,ug/m3,2.155,0.0,22.2,Valid,C,1,0,,Stabilising,,,,82.3,Valid,%,1,0,2021-02-23 00:00:00,54.9094,82.3,22.2,,
,Stabilising,,,,25.54,Valid,ug/m3,2.155,0.0,22.1,Valid,C,1,0,,Stabilising,,,,82.6,Valid,%,1,0,2021-02-23 00:15:00,55.03869999999999,82.6,22.1,,
,Stabilising,,,,25.55,Deliquescence,ug/m3,2.155,0.0,22.0,Valid,C,1,0,,Stabilising,,,,83.0,Valid,%,1,0,2021-02-23 00:30:00,55.060249999999996,83.0,22.0,,
,Stabilising,,,,23.86,Valid,ug/m3,2.155,0.0,21.9,Valid,C,1,0,,Stabilising,,,,83.3,Valid,%,1,0,2021-02-23 00:45:00,51.418299999999995,83.3,21.9,,
,Stabilising,,,,23.52,Valid,ug/m3,2.155,0.0,21.9,Valid,C,1,0,,Stabilising,,,,83.4,Valid,%,1,0,2021-02-23 01:00:00,50.685599999999994,83.4,21.9,,
,Stabilising,,,,22.4,Valid,ug/m3,2.155,0.0,21.8,Valid,C,1,0,,Stabilising,,,,83.5,Valid,%,1,0,2021-02-23 01:15:00,48.27199999999999,83.5,21.8,,
,Stabilising,,,,22.24,Valid,ug/m3,2.155,0.0,21.7,Valid,C,1,0,,Stabilising,,,,83.7,Valid,%,1,0,2021-02-23 01:30:00,47.92719999999999,83.7,21.7,,
,Stabilising,,,,22.73,Valid,ug/m3,2.155,0.0,21.6,Valid,C,1,0,,Stabilising,,,,83.8,Valid,%,1,0,2021-02-23 01:45:00,48.983149999999995,83.8,21.6,,
,Stabilising,,,,23.45,PM25 Greater Than PM10,ug/m3,2.155,0.0,21.5,Valid,C,1,0,,Stabilising,,,,83.9,Valid,%,1,0,2021-02-23 02:00:00,50.534749999999995,83.9,21.5,,
,Stabilising,,,,24.1,PM25 Greater Than PM10,ug/m3,2.155,0.0,21.4,Valid,C,1,0,,Stabilising,,,,84.2,Valid,%,1,0,2021-02-23 02:15:00,51.9355,84.2,21.4,,
,Stabilising,,,,25.91,Deliquescence,ug/m3,2.155,0.0,21.2,Valid,C,1,0,,Stabilising,,,,84.7,Valid,%,1,0,2021-02-23 02:30:00,55.83604999999999,84.7,21.2,,
