PM2_5,temp,humidity,PM2_5_cal,temp_cal,humidity_cal
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.4,33.2,60.5,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,14.0,33.9,59.0
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.4,33.2,60.5,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,14.3,33.9,59.0
15.5,33.3,60.9,14.2,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,14.2,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.7,33.2,60.5,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,14.0,33.9,59.0
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
16.2,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.7,33.2,60.5,13.9,34.1,58.2
15.8,33.3,61.0,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,14.0,33.9,59.0
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.7,33.3,60.5,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.9,34.1,58.2
15.8,33.3,60.9,13.6,33.9,59.0
15.8,33.3,60.9,13.5,34.1,58.2
15.8,33.3,60.9,13.5,34.1,58.2
15.8,33.3,60.9,13.5,34.1,58.2
15.5,33.3,60.9,13.5,34.1,58.2
15.8,33.3,60.9,13.5,34.1,58.2
15.4,33.3,60.5,13.5,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.1,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,14.0,33.9,59.0
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.1,33.3,60.9,13.9,34.1,58.2
15.1,33.3,60.9,13.9,34.1,58.2
15.4,33.3,60.5,13.9,34.2,58.2
15.1,33.3,60.9,13.9,34.1,58.2
15.1,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,33.9,59.0
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.4,33.3,60.5,13.9,34.1,58.2
15.5,33.3,60.9,13.9,34.1,58.2
15.1,33.3,60.9,14.2,34.1,58.2
15.1,33.3,60.9,14.2,34.1,58.2
15.1,33.3,60.9,14.3,34.2,58.2
15.1,33.3,60.9,14.3,34.0,59.0
15.1,33.3,60.9,14.2,34.1,58.2
14.8,33.3,60.9,14.2,34.1,58.2
14.8,33.3,60.9,14.6,34.2,58.2
14.8,33.3,60.9,14.6,34.1,58.2
14.7,33.3,60.5,14.6,34.1,58.2
14.4,33.3,60.9,14.6,34.1,58.2
14.4,33.3,60.9,14.6,34.2,58.2
14.8,33.3,60.9,14.6,34.1,58.2
14.8,33.3,60.9,14.6,34.1,58.2
14.8,33.3,60.9,14.3,33.9,59.0
15.1,33.3,60.9,14.3,34.2,58.2
15.1,33.3,60.9,14.2,34.1,58.2
14.8,33.3,60.9,14.3,34.2,58.2
15.1,33.3,60.5,14.3,34.2,58.2
15.1,33.3,60.9,14.3,34.2,58.2
15.1,33.3,60.9,14.3,34.2,58.2
15.1,33.3,60.9,14.3,34.2,58.2
15.1,33.3,60.9,14.3,34.2,58.2
15.1,33.3,60.9,14.3,34.0,59.0
15.1,33.3,60.9,14.2,34.1,58.2
15.1,33.3,60.9,14.3,34.2,58.2
15.1,33.3,60.9,14.3,34.2,58.2
14.8,33.3,60.9,14.3,34.2,58.2
15.1,33.3,60.5,14.3,34.2,58.2
15.1,33.3,60.9,14.3,34.2,58.2
15.1,33.3,60.9,14.3,34.2,58.2
15.1,33.3,60.9,14.3,34.2,58.2
14.8,33.3,60.9,14.3,34.2,58.2
14.8,33.3,60.9,14.3,34.0,59.0
14.8,33.3,60.9,14.3,34.2,58.2
15.1,33.3,60.9,14.3,34.2,58.2
15.5,33.3,60.9,14.3,34.2,58.2
15.4,33.3,60.5,14.3,34.2,58.2
15.8,33.3,60.9,14.3,34.2,58.2
16.9,33.3,60.9,14.3,34.2,58.2
18.3,33.3,60.9,14.3,34.2,58.2
20.0,33.3,60.9,14.3,34.2,58.2
22.1,33.3,60.9,14.6,34.2,58.2
23.5,33.3,60.8,15.0,34.0,59.0
23.8,33.3,60.8,15.0,34.2,58.2
24.9,33.3,60.8,15.3,34.2,58.2
25.6,33.3,60.8,15.7,34.2,58.2
25.5,33.3,60.4,16.0,34.2,58.2
25.2,33.3,60.8,16.7,34.2,58.1
25.2,33.3,60.8,17.0,34.2,58.1
25.2,33.3,60.8,17.4,34.2,58.1
25.2,33.3,60.8,17.7,34.2,58.1
25.2,33.3,60.8,18.1,34.2,58.1
25.2,33.3,60.8,18.1,34.0,58.9
25.2,33.3,60.7,18.1,34.2,58.1
25.6,33.3,60.7,18.1,34.2,58.1
25.5,33.3,60.4,18.1,34.2,58.1
25.2,33.3,60.7,18.4,34.2,58.1
24.9,33.3,60.7,18.4,34.2,58.1
24.9,33.3,60.7,18.5,34.3,58.1
24.5,33.3,60.7,18.8,34.3,58.1
24.5,33.3,60.7,18.8,34.2,58.1
24.5,33.3,60.7,18.8,34.0,58.9
24.4,33.3,60.4,19.1,34.2,58.0
24.2,33.3,60.7,19.1,34.2,58.1
23.8,33.3,60.7,19.5,34.2,58.1
23.8,33.3,60.7,19.5,34.2,58.0
23.8,33.3,60.7,19.8,34.2,58.0
23.8,33.3,60.7,19.8,34.2,58.0
