humidity,temp,PM2_5,PM10_0,datetime
80.46,28.61,96,101,2021-09-23 07:00:00
80.53,28.6,96,101,2021-09-23 07:01:00
80.53,28.62,96,100,2021-09-23 07:03:00
80.53,28.64,96,100,2021-09-23 07:04:00
80.44,28.68,96,102,2021-09-23 07:05:00
80.36,28.69,96,103,2021-09-23 07:06:00
80.24,28.7,96,103,2021-09-23 07:08:00
80.15,28.71,94,102,2021-09-23 07:09:00
80.07,28.75,94,103,2021-09-23 07:10:00
79.92,28.78,94,102,2021-09-23 07:11:00
79.79,28.81,91,97,2021-09-23 07:13:00
79.5,28.85,88,95,2021-09-23 07:14:00
79.26,28.88,88,95,2021-09-23 07:15:00
79.1,28.91,88,96,2021-09-23 07:16:00
78.93,28.96,87,95,2021-09-23 07:18:00
78.84,29.0,88,94,2021-09-23 07:19:00
78.48,29.0,84,88,2021-09-23 07:20:00
78.32,28.99,84,88,2021-09-23 07:21:00
78.21,29.03,85,90,2021-09-23 07:23:00
78.15,29.05,83,87,2021-09-23 07:24:00
78.09,29.04,85,89,2021-09-23 07:25:00
78.15,29.04,85,89,2021-09-23 07:26:00
78.13,29.07,83,89,2021-09-23 07:28:00
77.98,29.1,83,89,2021-09-23 07:29:00
77.87,29.14,84,90,2021-09-23 07:30:00
77.77,29.16,82,87,2021-09-23 07:31:00
77.71,29.21,81,85,2021-09-23 07:33:00
77.66,29.26,81,86,2021-09-23 07:34:00
77.49,29.29,80,84,2021-09-23 07:35:00
77.38,29.33,79,85,2021-09-23 07:36:00
77.36,29.36,77,83,2021-09-23 07:38:00
77.29,29.38,76,81,2021-09-23 07:39:00
77.26,29.41,74,79,2021-09-23 07:40:00
77.02,29.4,74,78,2021-09-23 07:41:00
76.92,29.41,73,77,2021-09-23 07:43:00
76.74,29.39,73,77,2021-09-23 07:44:00
76.77,29.37,74,78,2021-09-23 07:45:00
76.61,29.36,72,77,2021-09-23 07:46:00
76.57,29.37,70,77,2021-09-23 07:48:00
76.52,29.37,70,77,2021-09-23 07:49:00
70.9,31.28,45,56,2021-09-23 09:22:00
70.28,31.41,46,58,2021-09-23 09:23:00
69.84,31.5,47,59,2021-09-23 09:25:00
69.48,31.61,46,57,2021-09-23 09:26:00
69.1,31.73,45,55,2021-09-23 09:27:00
68.55,31.82,44,54,2021-09-23 09:28:00
68.45,31.91,45,54,2021-09-23 09:30:00
68.38,31.97,44,53,2021-09-23 09:31:00
68.21,32.02,44,53,2021-09-23 09:32:00
67.89,32.02,43,51,2021-09-23 09:33:00
67.65,32.01,41,50,2021-09-23 09:35:00
67.61,32.0,41,50,2021-09-23 09:36:00
67.58,32.02,41,49,2021-09-23 09:37:00
67.74,32.01,41,49,2021-09-23 09:38:00
67.75,32.03,41,48,2021-09-23 09:40:00
67.84,32.07,41,49,2021-09-23 09:41:00
67.83,32.1,41,49,2021-09-23 09:42:00
67.75,32.15,43,52,2021-09-23 09:43:00
