datetime,PM2_5,PM10_0,temp,humidity,PM2_5_cal,temp_cal,humidity_cal,PM10_0_cal
2021-09-24 11:33:00,12.38,15.48,33.68,60.47,47.0,28.15,83.94,56.0
2021-09-24 11:34:00,12.4,15.5,33.7,60.5,47.0,28.06,84.2,58.0
2021-09-24 11:35:00,12.38,15.48,33.68,60.47,47.0,27.99,84.57,58.0
2021-09-24 11:37:00,12.4,15.5,33.7,60.5,46.0,27.97,84.64,57.0
2021-09-24 11:38:00,12.38,15.48,33.68,60.47,46.0,27.91,84.79,58.0
2021-09-24 11:39:00,12.4,15.5,33.7,60.5,54.0,27.99,84.56,64.0
2021-09-24 11:40:00,12.38,15.48,33.68,60.47,52.0,28.06,84.23,63.0
2021-09-24 11:42:00,12.4,15.5,33.7,60.5,50.0,28.11,83.97,62.0
2021-09-24 11:43:00,12.38,15.48,33.68,60.47,50.0,28.18,83.74,62.0
2021-09-24 11:44:00,12.38,15.48,33.68,60.47,47.0,28.19,83.76,58.0
2021-09-24 11:46:00,12.38,15.48,33.68,60.47,45.0,28.24,83.34,55.0
2021-09-24 11:49:00,12.38,15.48,33.68,60.47,39.0,28.22,82.23,48.0
2021-09-24 11:51:00,12.38,15.48,33.68,60.47,43.0,28.19,82.51,54.0
2021-09-24 11:52:00,12.4,15.5,33.7,60.5,42.0,28.17,82.83,52.0
2021-09-24 11:54:00,12.38,15.48,33.68,60.47,42.0,28.2,82.87,50.0
2021-09-24 11:55:00,12.4,15.5,33.7,60.5,42.0,28.22,82.66,51.0
2021-09-24 11:56:00,12.38,15.48,33.68,60.47,42.0,28.18,83.04,51.0
2021-09-24 11:57:00,12.38,15.48,33.68,60.47,42.0,28.19,83.27,51.0
2021-09-24 11:59:00,12.38,15.48,33.68,60.47,41.0,28.24,83.28,50.0
2021-09-24 12:00:00,12.4,15.5,33.7,60.5,41.0,28.29,83.03,50.0
2021-09-24 12:01:00,12.4,15.48,33.7,60.48,40.0,28.26,83.25,49.0
2021-09-24 12:02:00,12.45,15.5,33.75,60.52,39.0,28.25,83.52,47.0
2021-09-24 12:04:00,12.47,15.5,33.77,60.53,39.0,28.21,83.45,46.0
2021-09-24 12:05:00,12.47,15.5,33.77,60.57,39.0,28.21,83.3,46.0
2021-09-24 12:06:00,12.47,15.5,33.77,60.5,39.0,28.21,83.69,47.0
2021-09-24 12:07:00,12.48,15.5,33.78,60.55,39.0,28.11,84.16,47.0
2021-09-24 12:09:00,12.48,15.5,33.78,60.55,40.0,28.16,83.79,49.0
2021-09-24 12:10:00,12.48,15.5,33.78,60.55,40.0,28.18,83.81,48.0
2021-09-24 12:11:00,12.5,15.5,33.8,60.6,39.0,28.18,84.0,47.0
2021-09-24 12:12:00,12.48,15.5,33.78,60.55,39.0,28.22,84.17,47.0
2021-09-24 12:14:00,12.48,15.5,33.78,60.55,40.0,28.17,84.21,49.0
2021-09-24 12:15:00,12.48,15.5,33.78,60.55,40.0,28.2,83.92,49.0
2021-09-24 12:16:00,12.5,15.5,33.8,60.6,40.0,28.21,83.77,49.0
2021-09-24 12:17:00,12.48,15.5,33.78,60.55,40.0,28.23,83.69,49.0
2021-09-24 12:19:00,12.5,15.5,33.8,60.6,38.0,28.24,83.5,46.0
2021-09-24 12:20:00,12.48,15.5,33.78,60.55,38.0,28.26,83.64,46.0
2021-09-24 12:21:00,12.5,15.5,33.8,60.6,38.0,28.21,83.63,45.0
2021-09-24 12:22:00,12.48,15.5,33.78,60.55,38.0,28.12,83.73,44.0
2021-09-24 12:24:00,12.5,15.5,33.8,60.6,37.0,28.11,83.99,43.0
2021-09-24 12:25:00,12.48,15.52,33.8,60.55,37.0,28.15,83.99,44.0
2021-09-24 12:26:00,12.53,15.57,33.8,60.58,37.0,28.15,83.91,44.0
2021-09-24 13:14:00,17.63,20.1,31.55,64.57,38.0,28.18,84.62,45.0
2021-09-24 13:16:00,17.7,19.82,31.45,65.55,38.0,28.24,84.38,45.0
2021-09-24 13:17:00,18.22,20.48,31.5,65.32,36.0,28.29,84.25,43.0
2021-09-24 13:18:00,18.2,20.47,31.47,65.23,38.0,28.27,84.16,45.0
