datetime,PM2_5,PM10_0,temp,humidity,PM2_5_cal,PM10_0_cal,temp_cal,humidity_cal
2021-09-24 12:00:00,22.63,23.86,31.25,71.51,38.75,46.62,28.19,83.78
2021-09-24 12:30:00,21.48,23.09,32.14,69.26,37.54,44.79,28.16,84.18
2021-09-24 13:00:00,20.62,22.31,32.47,68.49,37.38,44.38,28.19,84.27
2021-09-24 13:30:00,20.45,22.21,32.63,68.23,37.8,45.24,28.51,83.22
2021-09-24 14:00:00,19.17,21.09,32.77,67.32,32.25,36.71,28.58,81.71
2021-09-24 14:30:00,20.34,22.31,32.92,66.63,35.04,41.58,28.73,80.5
2021-09-24 15:30:00,18.87,21.12,33.57,65.6,30.43,33.39,29.29,79.41
2021-09-24 16:00:00,18.97,21.27,33.55,65.47,29.72,32.16,29.2,79.54
2021-09-24 17:00:00,18.49,20.73,33.04,65.39,31.17,34.67,28.72,79.39
2021-09-24 17:30:00,19.64,21.76,32.74,65.86,35.08,41.17,28.25,81.43
2021-09-24 18:00:00,19.82,21.7,31.85,67.28,35.32,42.0,27.69,83.63
2021-09-24 19:30:00,18.75,20.22,30.86,69.92,31.46,36.5,27.32,85.39
2021-09-24 20:00:00,19.58,20.9,30.74,70.48,33.25,38.29,27.3,85.72
2021-09-24 20:30:00,20.17,21.48,30.86,70.43,35.96,42.5,27.47,84.98
2021-09-24 21:00:00,17.68,19.08,30.85,70.05,28.17,31.46,27.26,84.33
2021-09-24 21:30:00,16.1,17.49,30.59,70.18,17.46,18.62,26.94,85.2
2021-09-24 22:00:00,15.15,16.3,30.37,70.74,10.86,11.82,26.79,85.69
2021-09-24 22:30:00,15.07,16.22,30.37,70.86,11.27,11.18,26.69,86.41
2021-09-24 23:00:00,15.78,16.94,30.36,71.18,15.62,16.46,26.73,86.46
2021-09-24 23:30:00,16.87,17.95,30.27,71.93,20.22,21.22,26.48,87.84
2021-09-25 00:30:00,31.37,32.69,30.1,71.79,67.88,76.12,26.49,87.17
2021-09-25 01:00:00,27.24,28.41,30.12,72.17,52.79,63.29,26.57,86.56
2021-09-25 01:30:00,24.94,26.02,29.81,72.65,45.79,56.54,26.33,87.39
2021-09-25 02:00:00,22.41,23.35,29.7,72.99,40.96,50.33,26.31,87.61
2021-09-25 02:30:00,22.64,23.54,29.85,73.2,39.92,48.25,26.32,88.36
2021-09-25 03:00:00,24.36,25.29,29.91,73.64,42.84,52.4,26.29,89.07
2021-09-25 04:00:00,13.2,14.15,28.63,72.75,1.54,1.58,24.72,87.32
2021-09-25 04:30:00,13.06,13.75,28.09,74.64,0.0,0.04,24.69,88.43
2021-09-25 05:00:00,13.1,13.78,28.24,74.47,0.0,0.32,24.96,87.64
2021-09-25 07:30:00,15.13,15.69,29.26,74.37,7.96,8.96,25.93,87.74
2021-09-25 08:00:00,15.81,16.5,29.43,73.85,11.48,12.28,26.04,87.33
2021-09-25 09:00:00,16.95,17.79,29.99,73.49,17.62,18.38,26.99,84.7
2021-09-25 09:30:00,17.34,18.29,30.56,72.75,18.67,19.88,27.86,82.74
2021-09-25 10:00:00,18.35,19.47,31.48,71.86,22.29,23.5,29.14,79.72
2021-09-25 10:30:00,18.74,20.21,32.33,70.01,25.25,27.25,29.91,77.37
