humidity,temp,PM2_5,PM10_0,datetime
59.8,34.8,12.7,15.9,2021-09-24 00:00:04
59.8,34.8,12.7,15.9,2021-09-24 00:00:14
59.9,34.8,12.7,15.9,2021-09-24 00:00:24
59.8,34.8,12.7,15.9,2021-09-24 00:00:34
59.8,34.8,13,16.2,2021-09-24 00:00:44
59.8,34.8,13,16.2,2021-09-24 00:00:54
59.9,34.5,12.9,16.1,2021-09-24 00:01:04
59.8,34.8,13,16.2,2021-09-24 00:01:14
59.8,34.8,13,16.2,2021-09-24 00:01:24
59.8,34.8,13,16.2,2021-09-24 00:01:34
59.8,34.8,13,16.2,2021-09-24 00:01:44
59.8,34.8,13,16.2,2021-09-24 00:01:54
59.8,34.8,12.7,15.9,2021-09-24 00:02:04
59.8,34.8,13,16.2,2021-09-24 00:02:14
59.9,34.8,13,16.2,2021-09-24 00:02:24
59.8,34.8,12.7,15.9,2021-09-24 00:02:34
59.9,34.5,12.5,15.7,2021-09-24 00:02:44
59.8,34.8,12.7,15.9,2021-09-24 00:02:54
59.8,34.8,12.7,15.9,2021-09-24 00:03:04
59.8,34.8,12.7,15.9,2021-09-24 00:03:14
59.8,34.8,12.7,15.9,2021-09-24 00:03:24
59.8,34.8,12.7,15.9,2021-09-24 00:03:34
59.8,34.8,12.7,15.9,2021-09-24 00:03:44
59.8,34.8,12.7,15.9,2021-09-24 00:03:54
59.8,34.8,12.7,15.9,2021-09-24 00:04:04
59.8,34.8,13,16.2,2021-09-24 00:04:14
59.9,34.5,12.9,16.1,2021-09-24 00:04:24
59.8,34.8,13,16.2,2021-09-24 00:04:34
59.8,34.8,13,16.2,2021-09-24 00:04:44
59.8,34.8,13,16.2,2021-09-24 00:04:54
59.8,34.8,13,16.2,2021-09-24 00:05:04
59.8,34.8,13,16.2,2021-09-24 00:05:14
59.8,34.8,13,16.2,2021-09-24 00:05:24
59.8,34.8,12.7,15.9,2021-09-24 00:05:34
59.8,34.8,13,16.2,2021-09-24 00:05:44
59.9,34.5,12.9,16.1,2021-09-24 00:05:54
59.8,34.8,13,16.2,2021-09-24 00:06:04
59.8,34.8,13,16.2,2021-09-24 00:06:14
59.8,34.8,13,16.2,2021-09-24 00:06:24
59.8,34.8,13.3,16.5,2021-09-24 00:06:34
59.8,34.8,13.3,16.5,2021-09-24 00:06:44
59.8,34.8,13.3,16.5,2021-09-24 00:06:54
59.8,34.8,13.3,16.5,2021-09-24 00:07:04
59.8,34.8,13,16.2,2021-09-24 00:07:14
59.8,34.8,12.7,15.9,2021-09-24 00:07:24
59.9,34.5,12.5,15.7,2021-09-24 00:07:34
59.8,34.8,12.7,15.9,2021-09-24 00:07:44
59.8,34.8,12.7,15.9,2021-09-24 00:07:54
59.8,34.8,12.7,15.9,2021-09-24 00:08:04
59.8,34.8,12.7,15.9,2021-09-24 00:08:14
59.8,34.8,13,16.2,2021-09-24 00:08:24
59.8,34.8,13,16.2,2021-09-24 00:08:34
59.8,34.8,12.7,15.9,2021-09-24 00:08:44
59.8,34.8,12.7,15.9,2021-09-24 00:08:54
59.8,34.8,12.7,15.9,2021-09-24 00:09:04
59.9,34.5,12.5,15.7,2021-09-24 00:09:14
59.8,34.8,12.7,15.9,2021-09-24 00:09:24
