PM2_5,temperature,humidity,time
12.6,33.8,61.2,2021-09-20 00:00:09
12.6,33.8,61.2,2021-09-20 00:00:19
12.6,33.8,61.2,2021-09-20 00:00:29
12.9,33.8,61.2,2021-09-20 00:00:39
12.9,33.8,61.2,2021-09-20 00:00:49
12.9,33.8,61.2,2021-09-20 00:00:59
12.9,33.8,61.2,2021-09-20 00:01:09
12.6,33.8,61.2,2021-09-20 00:01:19
12.4,33.7,60.7,2021-09-20 00:01:29
12.9,33.8,61.2,2021-09-20 00:01:39
12.9,33.8,61.2,2021-09-20 00:01:49
12.9,33.8,61.2,2021-09-20 00:01:59
12.9,33.8,61.2,2021-09-20 00:02:09
12.6,33.8,61.2,2021-09-20 00:02:19
12.6,33.8,61.2,2021-09-20 00:02:29
12.6,33.8,61.2,2021-09-20 00:02:39
12.6,33.8,61.2,2021-09-20 00:02:49
12.9,33.8,61.2,2021-09-20 00:02:59
12.8,33.7,60.7,2021-09-20 00:03:09
12.6,33.9,61.2,2021-09-20 00:03:19
12.6,33.9,61.2,2021-09-20 00:03:29
12.9,33.9,61.2,2021-09-20 00:03:39
12.6,33.9,61.2,2021-09-20 00:03:49
12.6,33.9,61.2,2021-09-20 00:03:59
12.6,33.9,61.2,2021-09-20 00:04:09
12.6,33.9,61.2,2021-09-20 00:04:19
12.6,33.9,61.2,2021-09-20 00:04:29
12.4,33.7,60.7,2021-09-20 00:04:39
12.6,33.9,61.2,2021-09-20 00:04:49
12.6,33.9,61.2,2021-09-20 00:04:59
12.6,33.9,61.2,2021-09-20 00:05:09
12.6,33.9,61.2,2021-09-20 00:05:19
12.6,33.9,61.2,2021-09-20 00:05:29
12.6,33.9,61.2,2021-09-20 00:05:39
12.6,33.9,61.2,2021-09-20 00:05:49
12.6,33.9,61.2,2021-09-20 00:05:59
12.6,33.9,61.2,2021-09-20 00:06:09
12.4,33.7,60.7,2021-09-20 00:06:19
12.9,33.9,61.2,2021-09-20 00:06:29
12.9,33.9,61.2,2021-09-20 00:06:39
12.6,33.9,61.2,2021-09-20 00:06:49
12.6,33.9,61.2,2021-09-20 00:06:59
12.9,33.9,61.2,2021-09-20 00:07:09
12.6,33.9,61.2,2021-09-20 00:07:19
12.6,33.9,61.2,2021-09-20 00:07:29
12.6,33.9,61.2,2021-09-20 00:07:39
12.4,33.7,60.6,2021-09-20 00:07:49
12.6,33.9,61.2,2021-09-20 00:07:59
12.6,33.9,61.2,2021-09-20 00:08:09
12.6,33.9,61.2,2021-09-20 00:08:18
12.6,33.9,61.2,2021-09-20 00:08:29
12.6,33.9,61.2,2021-09-20 00:08:39
12.6,34,61.2,2021-09-20 00:08:48
12.6,33.9,61.2,2021-09-20 00:08:58
12.6,33.9,61.2,2021-09-20 00:09:08
12.9,33.9,61.2,2021-09-20 00:09:18
12.8,33.7,60.6,2021-09-20 00:09:28
14,33.9,61.1,2021-09-20 00:09:38
15.7,33.9,61.1,2021-09-20 00:09:48
16.4,33.9,61.1,2021-09-20 00:09:58
17.5,34,61.2,2021-09-20 00:10:08
17.8,33.9,61.1,2021-09-20 00:10:18
18.8,33.9,61.1,2021-09-20 00:10:28
19.2,34,61.2,2021-09-20 00:10:38
19.5,33.9,61.1,2021-09-20 00:10:48
19.4,33.7,60.6,2021-09-20 00:10:58
19.9,34,61.1,2021-09-20 00:11:08
19.9,34,61.1,2021-09-20 00:11:18
19.9,34,61.1,2021-09-20 00:11:28
20.3,34,61.1,2021-09-20 00:11:38
20.2,34,61.1,2021-09-20 00:11:48
20.2,34,61.1,2021-09-20 00:11:58
19.9,34,61.1,2021-09-20 00:12:08
20.2,34,61.1,2021-09-20 00:12:18
19.9,34,61.1,2021-09-20 00:12:28
19.4,33.8,60.6,2021-09-20 00:12:38
19.2,34,61.1,2021-09-20 00:12:48
18.9,34,61.1,2021-09-20 00:12:58
18.9,34,61.1,2021-09-20 00:13:08
18.2,34,61.1,2021-09-20 00:13:18
18.2,34,61.1,2021-09-20 00:13:28
18.2,34,61.1,2021-09-20 00:13:38
18.2,34,61.1,2021-09-20 00:13:48
17.8,34,61.1,2021-09-20 00:13:58
17.8,34,61.1,2021-09-20 00:14:08
17.3,33.8,60.6,2021-09-20 00:14:18
17.5,34,61.1,2021-09-20 00:14:28
17.1,34,61.1,2021-09-20 00:14:38
17.1,34,61.1,2021-09-20 00:14:48
16.8,34,61.1,2021-09-20 00:14:58
16.4,34,61.1,2021-09-20 00:15:08
16.4,34,61.1,2021-09-20 00:15:18
16.4,34,61.1,2021-09-20 00:15:28
16.1,34,61.1,2021-09-20 00:15:38
15.9,33.8,60.6,2021-09-20 00:15:48
15.7,34,61.1,2021-09-20 00:15:58
15.8,34.1,61.1,2021-09-20 00:16:08
15.4,34,61.1,2021-09-20 00:16:18
15.4,34,61.1,2021-09-20 00:16:28
15.4,34,61.1,2021-09-20 00:16:38
15.4,34,61.1,2021-09-20 00:16:48
15.4,34,61.1,2021-09-20 00:16:58
15,34,61.1,2021-09-20 00:17:08
15,34,61.1,2021-09-20 00:17:18
14.9,33.8,60.6,2021-09-20 00:17:28
14.7,34,61.1,2021-09-20 00:17:38
14.7,34,61.1,2021-09-20 00:17:48
14.7,34,61.1,2021-09-20 00:17:58
14.7,34,61.1,2021-09-20 00:18:08
14.7,34,61.1,2021-09-20 00:18:18
14.7,34,61.1,2021-09-20 00:18:28
14.7,34,61.1,2021-09-20 00:18:38
14.7,34,61.1,2021-09-20 00:18:48
14.7,34,61.1,2021-09-20 00:18:58
14.5,33.8,60.6,2021-09-20 00:19:08
14.3,34,61.1,2021-09-20 00:19:18
14.3,34,61.1,2021-09-20 00:19:28
14.3,34,61.1,2021-09-20 00:19:38
14.3,34,61.1,2021-09-20 00:19:48
14,34,61.1,2021-09-20 00:19:58
14,34.1,61.1,2021-09-20 00:20:08
14,34.1,61.1,2021-09-20 00:20:18
14,34.1,61.1,2021-09-20 00:20:28
13.9,33.9,60.6,2021-09-20 00:20:38
14,34.1,61.1,2021-09-20 00:20:48
14,34.1,61.1,2021-09-20 00:20:58
14,34.1,61.1,2021-09-20 00:21:08
14,34.1,61.1,2021-09-20 00:21:18
14,34.1,61.1,2021-09-20 00:21:28
13.7,34.1,61.1,2021-09-20 00:21:38
13.7,34.1,61.1,2021-09-20 00:21:48
13.7,34.1,61.1,2021-09-20 00:21:58
13.7,34.1,61.1,2021-09-20 00:22:08
13.5,33.9,60.6,2021-09-20 00:22:18
13.7,34.1,61.1,2021-09-20 00:22:28
13.7,34.1,61.1,2021-09-20 00:22:38
13.7,34.1,61.1,2021-09-20 00:22:48
14,34.1,61.1,2021-09-20 00:22:58
13.7,34.1,61.1,2021-09-20 00:23:08
14,34.1,61.1,2021-09-20 00:23:18
14,34.1,61.1,2021-09-20 00:23:28
14,34.1,61.1,2021-09-20 00:23:38
13.5,33.9,60.6,2021-09-20 00:23:48
14,34.1,61.1,2021-09-20 00:23:58
14,34.1,61.1,2021-09-20 00:24:08
13.7,34.1,61.1,2021-09-20 00:24:18
13.7,34.1,61.1,2021-09-20 00:24:28
13.7,34.1,61.1,2021-09-20 00:24:38
13.7,34.1,61.1,2021-09-20 00:24:48
13.7,34.1,61.1,2021-09-20 00:24:58
13.7,34.1,61.1,2021-09-20 00:25:08
13.7,34.1,61.1,2021-09-20 00:25:18
13.5,33.9,60.6,2021-09-20 00:25:28
13.7,34.1,61.1,2021-09-20 00:25:38
13.7,34.1,61.1,2021-09-20 00:25:48
13.3,34.1,61.1,2021-09-20 00:25:58
13.3,34.1,61.1,2021-09-20 00:26:08
13.3,34.1,61.1,2021-09-20 00:26:18
13.3,34.1,61.1,2021-09-20 00:26:28
13.7,34.1,61.1,2021-09-20 00:26:38
13.7,34.1,61.1,2021-09-20 00:26:48
13.5,33.9,60.6,2021-09-20 00:26:58
13.7,34.1,61.1,2021-09-20 00:27:08
13.7,34.1,61.1,2021-09-20 00:27:18
13.7,34.1,61.1,2021-09-20 00:27:28
13.7,34.1,61.1,2021-09-20 00:27:38
13.7,34.1,61.1,2021-09-20 00:27:48
13.3,34.1,61.1,2021-09-20 00:27:58
13.3,34.1,61.1,2021-09-20 00:28:08
13.3,34.1,61.1,2021-09-20 00:28:18
13.7,34.1,61.1,2021-09-20 00:28:28
13.5,33.9,60.6,2021-09-20 00:28:38
13.7,34.1,61.1,2021-09-20 00:28:48
13.7,34.1,61.1,2021-09-20 00:28:58
13.7,34.1,61.1,2021-09-20 00:29:08
13.3,34.1,61.1,2021-09-20 00:29:18
13.3,34.1,61.1,2021-09-20 00:29:28
13.7,34.1,61.1,2021-09-20 00:29:38
13.7,34.1,61.1,2021-09-20 00:29:48
13.7,34.1,61.1,2021-09-20 00:29:58
13.3,34.1,61.1,2021-09-20 00:30:08
13.5,33.9,60.6,2021-09-20 00:30:18
