datetime,PM2_5,PM10_0,temp,humidity
2021-09-24 00:00:00,12.8,16.0,34.8,59.82
2021-09-24 00:01:00,12.98,16.18,34.75,59.82
2021-09-24 00:02:00,12.77,15.97,34.75,59.83
2021-09-24 00:03:00,12.7,15.9,34.8,59.8
2021-09-24 00:04:00,12.93,16.13,34.75,59.82
2021-09-24 00:05:00,12.93,16.13,34.75,59.82
2021-09-24 00:06:00,13.15,16.35,34.8,59.8
2021-09-24 00:07:00,12.82,16.02,34.75,59.82
2021-09-24 00:08:00,12.8,16.0,34.8,59.8
2021-09-24 00:09:00,12.67,15.87,34.75,59.82
2021-09-24 00:10:00,12.77,15.97,34.75,59.82
2021-09-24 00:11:00,12.75,15.95,34.8,59.8
2021-09-24 00:12:00,12.88,16.08,34.75,59.83
2021-09-24 00:13:00,12.75,15.95,34.8,59.8
2021-09-24 00:14:00,12.77,15.97,34.75,59.82
2021-09-24 00:15:00,12.98,16.18,34.75,59.85
2021-09-24 00:16:00,12.7,15.9,34.8,59.85
2021-09-24 00:17:00,12.67,15.87,34.75,59.9
2021-09-24 00:18:00,12.88,16.08,34.75,59.9
2021-09-24 00:19:00,12.75,15.95,34.8,59.88
2021-09-24 00:20:00,12.98,16.18,34.75,59.87
2021-09-24 00:21:00,13.2,16.35,34.82,59.9
2021-09-24 00:22:00,12.88,16.08,34.75,59.88
2021-09-24 00:23:00,12.67,15.87,34.75,59.9
2021-09-24 00:24:00,12.9,16.1,34.8,59.9
2021-09-24 00:25:00,12.78,15.98,34.75,59.9
2021-09-24 00:26:00,12.67,15.87,34.77,59.9
2021-09-24 00:27:00,12.75,15.95,34.82,59.9
2021-09-24 00:28:00,12.93,16.13,34.75,59.9
2021-09-24 00:29:00,12.7,15.9,34.8,59.9
2021-09-24 00:30:00,12.67,15.87,34.77,59.9
2021-09-24 00:31:00,12.83,16.03,34.77,59.9
2021-09-24 00:32:00,12.7,15.9,34.83,59.9
2021-09-24 00:33:00,13.58,16.68,34.8,59.9
2021-09-24 00:34:00,14.87,17.93,34.85,59.9
2021-09-24 00:35:00,15.5,18.7,34.9,59.9
2021-09-24 00:36:00,15.98,19.13,34.83,59.9
2021-09-24 00:37:00,16.0,19.15,34.9,59.9
2021-09-24 00:38:00,15.63,18.83,34.85,59.9
2021-09-24 00:39:00,15.33,18.48,34.85,59.9
2021-09-24 00:40:00,14.8,17.8,34.9,59.9
2021-09-24 00:41:00,14.33,17.38,34.83,59.88
2021-09-24 00:42:00,14.27,17.33,34.83,59.88
2021-09-24 00:43:00,14.2,17.2,34.82,59.88
2021-09-24 00:44:00,13.7,16.78,34.78,59.88
2021-09-24 00:45:00,13.65,16.75,34.8,59.9
2021-09-24 00:46:00,13.53,16.63,34.75,59.9
2021-09-24 00:47:00,13.52,16.63,34.75,59.9
