Unnamed: 0,datetime,cntErrSD,cntErrLte,cntErrWifi,humidity,temp,perBat,CO,NO2,SO2,PM10_0,PM2_5,PM1_0
0,2021-07-14 23:58:55,38419,197,12806,61.6,32.7,63.93,-274.9608,-0.4512,-0.1689,15.2,12.3,11.5
1,2021-07-14 23:58:45,38418,197,12806,62.9,32.6,63.78,-275.0072,-0.4523,-0.1659,15.1,12.5,11.7
2,2021-07-14 23:58:35,38417,197,12805,62.9,32.6,63.75,-274.7171,-0.4523,-0.1682,15.1,12.5,11.7
3,2021-07-14 23:58:25,38416,197,12805,62.9,32.6,63.79,-274.2993,-0.4512,-0.1664,15.1,12.5,11.7
4,2021-07-14 23:58:15,38415,197,12805,62.9,32.6,63.78,-273.4869,-0.4512,-0.1674,15.1,12.5,11.7
5,2021-07-14 23:58:05,38414,197,12804,62.9,32.6,63.77,-273.6958,-0.4523,-0.1664,15.1,12.5,11.7
6,2021-07-14 23:57:55,38413,197,12804,62.9,32.6,63.75,-275.0188,-0.4523,-0.1666,15.1,12.5,11.7
7,2021-07-14 23:57:45,38412,197,12804,62.9,32.6,63.72,-273.6494,-0.4523,-0.1661,15.1,12.5,11.7
8,2021-07-14 23:57:35,38411,197,12803,62.9,32.6,63.77,-275.5295,-0.4523,-0.1694,15.1,12.5,11.7
9,2021-07-14 23:57:25,38410,197,12803,62.9,32.6,63.82,-274.4966,-0.4523,-0.1672,15.1,12.5,11.7
10,2021-07-14 23:57:15,38409,197,12803,61.6,32.7,63.71,-274.868,-0.4512,-0.1677,15.2,12.3,11.5
11,2021-07-14 23:57:05,38408,197,12802,62.9,32.6,63.67,-274.5082,-0.4512,-0.1682,15.1,12.5,11.7
12,2021-07-14 23:56:55,38407,197,12802,62.9,32.6,63.71,-273.9395,-0.4512,-0.1682,15.1,12.5,11.7
13,2021-07-14 23:56:45,38406,197,12802,62.9,32.6,63.61,-273.6494,-0.4523,-0.1646,15.1,12.5,11.7
14,2021-07-14 23:56:35,38405,197,12801,63.0,32.6,63.6,-273.6842,-0.4523,-0.1664,15.1,12.5,11.8
15,2021-07-14 23:56:25,38404,197,12801,62.9,32.6,63.56,-273.8119,-0.4523,-0.1661,15.1,12.5,11.7
16,2021-07-14 23:56:15,38403,197,12801,62.9,32.6,63.56,-272.8486,-0.4523,-0.1677,15.1,12.5,11.7
17,2021-07-14 23:56:05,38402,197,12800,62.9,32.6,63.61,-273.9047,-0.4523,-0.1674,15.1,12.5,11.7
18,2021-07-14 23:55:55,38401,197,12800,62.9,32.6,63.64,-272.9763,-0.4523,-0.1672,15.1,12.5,11.7
19,2021-07-14 23:55:45,38400,197,12800,62.9,32.6,63.6,-273.4637,-0.4523,-0.1661,15.1,12.5,11.7
20,2021-07-14 23:55:35,38399,197,12799,61.6,32.7,63.61,-273.8003,-0.4512,-0.1674,15.2,12.3,11.5
21,2021-07-14 23:55:25,38398,197,12799,63.0,32.6,63.63,-273.2548,-0.4512,-0.1687,15.1,12.5,11.8
22,2021-07-14 23:55:15,38397,197,12799,63.0,32.6,63.63,-273.0227,-0.4523,-0.1646,15.1,12.5,11.8
23,2021-07-14 23:55:05,38396,197,12798,63.0,32.6,63.71,-274.0324,-0.4523,-0.1692,15.1,12.5,11.8
24,2021-07-14 23:54:55,38395,197,12798,63.0,32.6,63.74,-274.2065,-0.4512,-0.1636,15.1,12.5,11.8
