humidity,temp,PM2_5,PM10,PM1_0,CO,NO2,SO2,AQI,datetime
60.7,24.8,20.3,23.2,19.5,-2.9881,-0.4277,0.048,67.7350478091901,2021-12-26 03:26:50
60.7,24.8,20.3,23.2,19,-2.9649,-0.4266,0.0439,67.7350478091901,2021-12-26 03:27:00
60.7,24.8,20,22.9,19,-2.9765,-0.4277,0.05,67.0940222689753,2021-12-26 03:27:10
60.9,24.4,18.5,21.2,16.8,-3.0346,-0.4288,0.0406,63.8888945679015,2021-12-26 05:27:50
60.9,24.4,18.1,20.9,16.8,-3.0462,-0.4288,0.0442,63.0341938476151,2021-12-26 05:28:00
60.9,24.4,18.1,20.9,16.4,-3.0578,-0.4288,0.0386,63.0341938476151,2021-12-26 05:28:10
60.6,24.7,22.4,25.1,20.7,-2.0597,-0.4288,0.0772,72.2222265906934,2021-12-26 10:48:23
60.6,24.7,22.4,25.1,20.7,-2.0597,-0.4277,0.081,72.2222265906934,2021-12-26 10:48:33
60.3,26.5,23.6,26.6,22.4,-2.0597,-0.4277,0.0812,74.7863287515525,2021-12-26 10:48:43
60.9,24.4,19.2,21.8,18.1,-2.2686,-0.4288,0.068,65.3846208284026,2021-12-26 11:58:53
60.9,24.4,18.8,21.5,18.1,-2.2802,-0.4277,0.0693,64.5299201081162,2021-12-26 11:59:03
60.9,24.4,18.8,21.5,18.1,-2.2802,-0.4288,0.0734,64.5299201081162,2021-12-26 11:59:13
60.9,24.6,24.5,27.2,22.8,-2.5007,-0.4288,0.0625,76.7094053721968,2021-12-26 12:13:23
60.8,24.5,24.1,26.9,22.3,-2.5355,-0.4288,0.064,75.8547046519105,2021-12-26 12:13:33
60.9,24.6,23.8,26.6,21.9,-2.5123,-0.4288,0.0637,75.2136791116957,2021-12-26 12:13:43
60.2,24.8,24.4,27.3,22.3,-2.4775,-0.4288,0.0635,76.4957301921252,2021-12-26 13:22:53
60.2,24.8,24.4,27.3,22.3,-2.4891,-0.4288,0.0663,76.4957301921252,2021-12-26 13:23:03
60.2,24.8,24.8,27.6,22.7,-2.5007,-0.4288,0.068,77.3504309124116,2021-12-26 13:23:13
59.9,24.3,29.8,32.7,27.5,-2.315,-0.4277,0.0566,88.034189915991,2021-12-26 15:00:23
59.9,26.1,30.4,33.3,28.1,-2.315,-0.4288,0.0683,89.3162409964206,2021-12-26 15:00:33
59.9,24.3,29.1,32,27.1,-2.2918,-0.4277,0.0675,86.5384636554899,2021-12-26 15:00:43
59.9,24.1,26.9,29.8,25.4,-2.3266,-0.4277,0.0645,81.8376096939149,2021-12-26 15:11:22
59.9,24.1,26.6,29.5,24.1,-2.3266,-0.4277,0.0678,81.1965841537002,2021-12-26 15:11:32
59.9,24.1,26.2,29.2,25,-2.3499,-0.4277,0.0543,80.3418834334138,2021-12-26 15:11:42
60,24.1,27.6,30.7,26.2,-2.3963,-0.4277,0.0683,83.3333359544161,2021-12-26 15:21:52
60,24.1,27.3,30.1,25.4,-2.3731,-0.4277,0.063,82.6923104142013,2021-12-26 15:22:02
60,24.1,26.6,29.5,25,-2.3847,-0.4288,0.0614,81.1965841537002,2021-12-26 15:22:12
60,24,24.1,27,22.9,-2.0597,-0.4288,0.0739,75.8547046519105,2021-12-26 15:36:52
60,24,24.1,27,22.4,-2.0481,-0.4277,0.0746,75.8547046519105,2021-12-26 15:37:02
60,24,24.5,27.3,22.9,-2.0713,-0.4277,0.0734,76.7094053721968,2021-12-26 15:37:12
