datetime,PM2_5,PM10,temp,humidity,CO,NO2,SO2
2021-12-25 23:57:00,43.4,45.4,26.5,68.2,-2.37,-0.54,0.03
2021-12-25 23:58:00,43.669999999999995,45.73,26.73,67.58,-2.38,-0.54,0.02
2021-12-25 23:59:00,44.53,46.38,26.5,68.2,-2.41,-0.54,0.02
2021-12-26 00:00:00,44.080000000000005,46.1,26.73,67.5,-2.4,-0.54,0.01
2021-12-26 00:01:00,43.15,45.28,26.73,67.5,-2.41,-0.54,0.03
2021-12-26 00:02:00,44.47,46.35,26.5,68.1,-2.4,-0.54,0.02
2021-12-26 00:03:00,44.78,46.75,26.73,67.5,-2.41,-0.54,0.03
2021-12-26 00:04:00,44.080000000000005,46.13,26.73,67.5,-2.39,-0.54,0.02
2021-12-26 00:05:00,44.96999999999999,46.83,26.5,68.17,-2.4,-0.54,0.02
2021-12-26 00:06:00,43.72,45.82,26.68,67.74,-2.38,-0.54,0.02
2021-12-26 00:07:00,43.78,45.88,26.73,67.58,-2.38,-0.54,0.02
2021-12-26 00:08:00,42.95000000000001,44.95000000000001,26.5,68.2,-2.37,-0.54,0.02
2021-12-26 00:09:00,42.98,45.07,26.73,67.58,-2.37,-0.54,0.03
2021-12-26 00:10:00,43.32,45.29999999999999,26.5,68.2,-2.37,-0.54,0.03
2021-12-26 00:11:00,42.87,44.93,26.73,67.5,-2.39,-0.54,0.02
2021-12-26 00:12:00,42.05,44.03,26.73,67.5,-2.39,-0.54,0.02
2021-12-26 00:13:00,42.669999999999995,44.65,26.5,68.1,-2.39,-0.54,0.02
2021-12-26 00:14:00,44.580000000000005,46.68,26.73,67.45,-2.4,-0.54,0.03
2021-12-26 00:15:00,44.32,46.35,26.73,67.48,-2.4,-0.54,0.01
2021-12-26 00:16:00,44.4,46.28,26.5,68.13,-2.4,-0.54,0.02
2021-12-26 00:17:00,43.080000000000005,45.22,26.73,67.53,-2.39,-0.54,0.02
2021-12-26 00:18:00,42.88,45.0,26.5,68.18,-2.4,-0.54,0.03
2021-12-26 00:19:00,44.18,46.18,26.73,67.58,-2.38,-0.54,0.02
2021-12-26 00:20:00,43.9,45.93,26.73,67.58,-2.4,-0.54,0.03
2021-12-26 00:21:00,43.97,45.9,26.5,68.22,-2.37,-0.54,0.02
2021-12-26 00:22:00,43.330000000000005,45.48,26.73,67.6,-2.37,-0.54,0.03
2021-12-26 00:23:00,43.75,45.77,26.73,67.67,-2.36,-0.54,0.02
2021-12-26 00:24:00,43.9,45.79999999999999,26.5,68.3,-2.38,-0.54,0.03
2021-12-26 00:25:00,44.62,46.53,26.73,67.7,-2.35,-0.54,0.02
2021-12-26 00:26:00,45.37,47.48,26.73,67.77,-2.34,-0.54,0.02
2021-12-26 00:27:00,45.0,46.93,26.5,68.4,-2.29,-0.54,0.02
2021-12-26 00:28:00,45.419999999999995,47.32,26.73,67.85,-2.29,-0.54,0.03
