datetime,PM10_0,PM2_5,PM1_0
2021-01-07 10:13:09,68.5,60.5,58.2
2021-01-07 10:18:09,69.0,59.0,56.7
2021-01-07 10:23:09,66.2,57.9,55.8
2021-01-07 10:28:09,66.1,57.5,55.4
2021-01-07 10:33:09,64.7,57.1,54.7
2021-01-07 10:38:09,65.3,56.5,54.0
2021-01-07 10:43:09,63.9,54.9,53.1
2021-01-07 10:48:09,64.3,55.4,53.7
2021-01-07 10:53:09,60.3,54.0,52.2
2021-01-07 10:58:09,61.7,52.5,50.4
2021-01-07 11:03:09,59.0,51.1,49.4
2021-01-07 11:08:09,58.8,50.6,48.7
2021-01-07 11:13:09,57.9,49.5,47.7
2021-01-07 11:18:09,55.2,47.3,45.7
2021-01-07 11:23:09,55.6,45.6,43.6
2021-01-07 11:28:09,50.1,43.0,41.3
2021-01-07 11:33:09,52.7,42.8,41.0
2021-01-07 11:38:09,50.7,41.6,39.9
2021-01-07 11:43:09,48.2,40.8,39.2
2021-01-07 11:48:09,47.5,40.2,39.0
2021-01-07 11:53:09,53.3,41.5,39.4
2021-01-07 11:58:09,50.7,40.8,39.0
2021-01-07 12:03:09,47.2,40.8,39.0
2021-01-07 12:08:09,49.2,39.5,38.0
2021-01-07 12:13:09,44.1,37.6,36.2
2021-01-07 12:18:09,45.2,37.7,36.0
2021-01-07 12:23:09,43.6,37.5,36.0
2021-01-07 12:28:09,48.4,38.7,36.3
2021-01-07 12:33:09,43.4,37.7,36.1
2021-01-07 12:38:09,41.9,36.6,35.2
2021-01-07 12:43:09,43.2,35.8,34.3
2021-01-07 12:48:09,44.5,36.1,34.6
2021-01-07 12:53:09,43.2,35.9,34.5
2021-01-07 12:58:09,42.1,35.9,34.5
2021-01-07 13:03:09,39.1,34.0,32.7
2021-01-07 13:08:09,39.9,33.9,32.6
2021-01-07 13:13:09,40.1,34.7,33.2
2021-01-07 13:18:09,39.8,34.1,33.0
2021-01-07 13:23:09,39.8,33.9,32.8
2021-01-07 13:28:09,40.8,34.2,33.0
2021-01-07 13:33:09,42.2,35.2,33.9
2021-01-07 13:38:09,39.4,34.6,33.4
2021-01-07 13:43:09,42.9,34.2,32.8
2021-01-07 13:48:09,38.1,32.7,31.5
2021-01-07 13:53:09,38.7,32.8,31.6
2021-01-07 13:58:09,41.3,33.3,31.7
2021-01-07 14:03:09,40.2,33.4,31.8
2021-01-07 14:08:09,41.7,33.2,31.3
