Epoch:   1/500, MSE_val: 303.8108, MAE_val: 16.1348
Epoch:   2/500, MSE_val: 113.9436, MAE_val: 8.5998
Epoch:   3/500, MSE_val: 50.6383, MAE_val: 5.0535
Epoch:   4/500, MSE_val: 43.3146, MAE_val: 5.0729
Epoch:   5/500, MSE_val: 39.2054, MAE_val: 4.9695
Epoch:   6/500, MSE_val: 26.8181, MAE_val: 3.8145
Epoch:   7/500, MSE_val: 18.0616, MAE_val: 3.1515
Epoch:   8/500, MSE_val: 24.1689, MAE_val: 3.5798
Epoch:   9/500, MSE_val: 18.5515, MAE_val: 3.4087
Epoch:  10/500, MSE_val: 20.9940, MAE_val: 3.4814
Epoch:  11/500, MSE_val: 18.4661, MAE_val: 3.2376
Epoch:  12/500, MSE_val: 16.1477, MAE_val: 3.2656
Epoch:  13/500, MSE_val: 23.5752, MAE_val: 3.8938
Epoch:  14/500, MSE_val: 21.8306, MAE_val: 3.7196
Epoch:  15/500, MSE_val: 17.3051, MAE_val: 3.4005
Epoch:  16/500, MSE_val: 32.0803, MAE_val: 4.3542
Epoch:  17/500, MSE_val: 12.9243, MAE_val: 2.7359
Epoch:  18/500, MSE_val: 25.8541, MAE_val: 4.0770
Epoch:  19/500, MSE_val: 19.6064, MAE_val: 3.5154
Epoch:  20/500, MSE_val: 25.6701, MAE_val: 4.0180
Epoch:  21/500, MSE_val: 25.5252, MAE_val: 4.2939
Epoch:  22/500, MSE_val: 12.8990, MAE_val: 2.9563
Epoch:  23/500, MSE_val: 15.3768, MAE_val: 3.2281
Epoch:  24/500, MSE_val: 14.9761, MAE_val: 3.2761
Epoch:  25/500, MSE_val: 15.9630, MAE_val: 3.3989
Epoch:  26/500, MSE_val: 14.3250, MAE_val: 3.0109
Epoch:  27/500, MSE_val: 27.3107, MAE_val: 4.2597
Epoch:  28/500, MSE_val: 17.8208, MAE_val: 3.3966
Epoch:  29/500, MSE_val: 14.3780, MAE_val: 2.9169
Epoch:  30/500, MSE_val: 22.8394, MAE_val: 4.1543
Epoch:  31/500, MSE_val: 22.2776, MAE_val: 3.9032
Epoch:  32/500, MSE_val: 19.8597, MAE_val: 3.6836
Epoch:  33/500, MSE_val: 19.6367, MAE_val: 3.9011
Epoch:  34/500, MSE_val: 17.8449, MAE_val: 3.5661
Epoch:  35/500, MSE_val: 21.9271, MAE_val: 3.4648
Epoch:  36/500, MSE_val: 22.3038, MAE_val: 3.8031
Epoch:  37/500, MSE_val: 30.7450, MAE_val: 4.8073
Epoch:  38/500, MSE_val: 30.4611, MAE_val: 4.6097
Epoch:  39/500, MSE_val: 22.1910, MAE_val: 3.7411
Epoch:  40/500, MSE_val: 25.3910, MAE_val: 4.3198
Epoch:  41/500, MSE_val: 30.2847, MAE_val: 4.6927
Epoch:  42/500, MSE_val: 27.5666, MAE_val: 4.2704
Epoch:  43/500, MSE_val: 39.3482, MAE_val: 5.0223
Epoch:  44/500, MSE_val: 23.6761, MAE_val: 4.1444
Epoch:  45/500, MSE_val: 42.2269, MAE_val: 4.6742
Epoch:  46/500, MSE_val: 22.1665, MAE_val: 3.7041
Epoch:  47/500, MSE_val: 37.6757, MAE_val: 4.7618
Epoch:  48/500, MSE_val: 43.9846, MAE_val: 5.7151
Epoch:  49/500, MSE_val: 27.7981, MAE_val: 4.4779
Epoch:  50/500, MSE_val: 26.8749, MAE_val: 4.6027
Epoch:  51/500, MSE_val: 28.4847, MAE_val: 4.7137
Epoch:  52/500, MSE_val: 37.0459, MAE_val: 5.4281
Epoch:  53/500, MSE_val: 33.9077, MAE_val: 4.2881
Epoch:  54/500, MSE_val: 28.5060, MAE_val: 4.5965
Epoch:  55/500, MSE_val: 27.1072, MAE_val: 4.5209
Epoch:  56/500, MSE_val: 28.6793, MAE_val: 4.7569
Epoch:  57/500, MSE_val: 31.9136, MAE_val: 4.9199
Epoch:  58/500, MSE_val: 80.1557, MAE_val: 6.4152
Epoch:  59/500, MSE_val: 24.4238, MAE_val: 4.2560
Epoch:  60/500, MSE_val: 22.2676, MAE_val: 4.0812
Epoch:  61/500, MSE_val: 32.2332, MAE_val: 5.0570
Epoch:  62/500, MSE_val: 31.1064, MAE_val: 4.9695
Epoch:  63/500, MSE_val: 51.1908, MAE_val: 5.1208
Epoch:  64/500, MSE_val: 29.7562, MAE_val: 4.7457
Epoch:  65/500, MSE_val: 29.3627, MAE_val: 4.0036
Epoch:  66/500, MSE_val: 27.5078, MAE_val: 4.6474
Epoch:  67/500, MSE_val: 36.6078, MAE_val: 5.1761
Epoch:  68/500, MSE_val: 22.7767, MAE_val: 4.1296
Epoch:  69/500, MSE_val: 32.0460, MAE_val: 4.4879
Epoch:  70/500, MSE_val: 20.5230, MAE_val: 3.6971
Epoch:  71/500, MSE_val: 27.6294, MAE_val: 4.5261
Epoch:  72/500, MSE_val: 29.5743, MAE_val: 4.7558
INFO: Early stopping
Early stopping
MSE_test: 14.0278, MAE_test: 3.1445
