Epoch:   1/500, MSE_val: 336.3299, MAE_val: 16.9858
Epoch:   2/500, MSE_val: 134.6887, MAE_val: 9.4293
Epoch:   3/500, MSE_val: 63.5239, MAE_val: 5.7238
Epoch:   4/500, MSE_val: 55.5113, MAE_val: 5.6827
Epoch:   5/500, MSE_val: 39.8870, MAE_val: 4.6084
Epoch:   6/500, MSE_val: 28.5520, MAE_val: 3.9276
Epoch:   7/500, MSE_val: 22.6902, MAE_val: 3.3869
Epoch:   8/500, MSE_val: 22.5827, MAE_val: 3.4589
Epoch:   9/500, MSE_val: 20.1084, MAE_val: 3.3515
Epoch:  10/500, MSE_val: 21.0957, MAE_val: 3.4904
Epoch:  11/500, MSE_val: 17.3365, MAE_val: 3.0621
Epoch:  12/500, MSE_val: 23.0834, MAE_val: 3.6929
Epoch:  13/500, MSE_val: 20.7378, MAE_val: 3.5702
Epoch:  14/500, MSE_val: 23.7127, MAE_val: 3.8411
Epoch:  15/500, MSE_val: 22.6488, MAE_val: 3.7061
Epoch:  16/500, MSE_val: 22.9872, MAE_val: 3.7204
Epoch:  17/500, MSE_val: 25.2867, MAE_val: 4.1057
Epoch:  18/500, MSE_val: 15.9473, MAE_val: 3.1426
Epoch:  19/500, MSE_val: 22.1578, MAE_val: 3.6251
Epoch:  20/500, MSE_val: 17.5210, MAE_val: 3.3289
Epoch:  21/500, MSE_val: 25.6390, MAE_val: 4.3141
Epoch:  22/500, MSE_val: 47.9932, MAE_val: 5.9853
Epoch:  23/500, MSE_val: 26.1385, MAE_val: 4.3607
Epoch:  24/500, MSE_val: 19.0477, MAE_val: 3.4288
Epoch:  25/500, MSE_val: 20.6505, MAE_val: 3.8970
Epoch:  26/500, MSE_val: 50.6946, MAE_val: 5.6809
Epoch:  27/500, MSE_val: 25.9073, MAE_val: 4.1240
Epoch:  28/500, MSE_val: 30.1651, MAE_val: 4.7811
Epoch:  29/500, MSE_val: 21.2011, MAE_val: 3.6438
Epoch:  30/500, MSE_val: 28.7597, MAE_val: 4.4840
Epoch:  31/500, MSE_val: 30.1311, MAE_val: 4.5806
Epoch:  32/500, MSE_val: 24.5072, MAE_val: 4.2079
Epoch:  33/500, MSE_val: 25.5556, MAE_val: 4.3303
Epoch:  34/500, MSE_val: 22.4303, MAE_val: 4.0914
Epoch:  35/500, MSE_val: 30.9280, MAE_val: 4.1722
Epoch:  36/500, MSE_val: 19.8417, MAE_val: 3.4269
Epoch:  37/500, MSE_val: 24.0879, MAE_val: 4.2883
Epoch:  38/500, MSE_val: 28.6760, MAE_val: 4.7563
Epoch:  39/500, MSE_val: 24.2569, MAE_val: 4.0395
Epoch:  40/500, MSE_val: 25.3072, MAE_val: 4.3569
Epoch:  41/500, MSE_val: 27.1983, MAE_val: 4.0932
Epoch:  42/500, MSE_val: 28.3837, MAE_val: 4.7067
Epoch:  43/500, MSE_val: 31.1693, MAE_val: 4.5106
Epoch:  44/500, MSE_val: 36.5185, MAE_val: 5.2171
Epoch:  45/500, MSE_val: 22.3435, MAE_val: 3.6379
Epoch:  46/500, MSE_val: 25.7566, MAE_val: 4.3475
Epoch:  47/500, MSE_val: 22.3249, MAE_val: 3.8938
Epoch:  48/500, MSE_val: 29.7375, MAE_val: 4.6389
Epoch:  49/500, MSE_val: 25.6591, MAE_val: 4.2783
Epoch:  50/500, MSE_val: 25.9195, MAE_val: 4.3689
Epoch:  51/500, MSE_val: 30.7927, MAE_val: 4.9325
Epoch:  52/500, MSE_val: 55.6564, MAE_val: 6.5132
Epoch:  53/500, MSE_val: 26.0252, MAE_val: 3.8533
Epoch:  54/500, MSE_val: 23.3626, MAE_val: 3.7498
Epoch:  55/500, MSE_val: 25.0062, MAE_val: 4.2052
Epoch:  56/500, MSE_val: 25.0241, MAE_val: 4.3220
Epoch:  57/500, MSE_val: 47.8162, MAE_val: 6.0053
Epoch:  58/500, MSE_val: 21.6017, MAE_val: 3.6312
Epoch:  59/500, MSE_val: 19.7967, MAE_val: 3.3874
Epoch:  60/500, MSE_val: 27.1560, MAE_val: 4.5852
Epoch:  61/500, MSE_val: 26.8391, MAE_val: 4.5097
Epoch:  62/500, MSE_val: 32.4412, MAE_val: 5.0673
Epoch:  63/500, MSE_val: 26.0419, MAE_val: 4.3201
Epoch:  64/500, MSE_val: 25.8433, MAE_val: 4.3534
Epoch:  65/500, MSE_val: 23.0277, MAE_val: 3.7801
Epoch:  66/500, MSE_val: 22.4276, MAE_val: 3.8212
Epoch:  67/500, MSE_val: 27.9986, MAE_val: 4.5342
Epoch:  68/500, MSE_val: 26.6122, MAE_val: 4.3072
INFO: Early stopping
Early stopping
MSE_test: 14.0220, MAE_test: 2.8516
