Epoch:   1/500, MSE_val: 249.6559, MAE_val: 13.8783
Epoch:   2/500, MSE_val: 41.5482, MAE_val: 5.1986
Epoch:   3/500, MSE_val: 24.2040, MAE_val: 3.6696
Epoch:   4/500, MSE_val: 19.3545, MAE_val: 3.2833
Epoch:   5/500, MSE_val: 14.2626, MAE_val: 2.8414
Epoch:   6/500, MSE_val: 24.2942, MAE_val: 3.9203
Epoch:   7/500, MSE_val: 14.4209, MAE_val: 2.8418
Epoch:   8/500, MSE_val: 14.2271, MAE_val: 2.8763
Epoch:   9/500, MSE_val: 17.5103, MAE_val: 3.2489
Epoch:  10/500, MSE_val: 28.1707, MAE_val: 4.1379
Epoch:  11/500, MSE_val: 16.8758, MAE_val: 3.0525
Epoch:  12/500, MSE_val: 26.9488, MAE_val: 4.2518
Epoch:  13/500, MSE_val: 25.0693, MAE_val: 3.9754
Epoch:  14/500, MSE_val: 17.8710, MAE_val: 3.1311
Epoch:  15/500, MSE_val: 31.7275, MAE_val: 4.6278
Epoch:  16/500, MSE_val: 20.8091, MAE_val: 3.7087
Epoch:  17/500, MSE_val: 18.4002, MAE_val: 3.3160
Epoch:  18/500, MSE_val: 20.6380, MAE_val: 3.5843
Epoch:  19/500, MSE_val: 19.7378, MAE_val: 3.4359
Epoch:  20/500, MSE_val: 30.4914, MAE_val: 4.6046
Epoch:  21/500, MSE_val: 25.6107, MAE_val: 4.1335
Epoch:  22/500, MSE_val: 21.4312, MAE_val: 3.6854
Epoch:  23/500, MSE_val: 30.8752, MAE_val: 4.6558
Epoch:  24/500, MSE_val: 33.0580, MAE_val: 4.9282
Epoch:  25/500, MSE_val: 18.0155, MAE_val: 3.3698
Epoch:  26/500, MSE_val: 16.5476, MAE_val: 2.9684
Epoch:  27/500, MSE_val: 18.2893, MAE_val: 3.4343
Epoch:  28/500, MSE_val: 19.2106, MAE_val: 3.3349
Epoch:  29/500, MSE_val: 16.3938, MAE_val: 3.2342
Epoch:  30/500, MSE_val: 21.4016, MAE_val: 3.6321
Epoch:  31/500, MSE_val: 24.9862, MAE_val: 4.1488
Epoch:  32/500, MSE_val: 23.7552, MAE_val: 4.2948
Epoch:  33/500, MSE_val: 57.8319, MAE_val: 6.5196
Epoch:  34/500, MSE_val: 16.7216, MAE_val: 3.2640
Epoch:  35/500, MSE_val: 24.9682, MAE_val: 4.3312
Epoch:  36/500, MSE_val: 35.6702, MAE_val: 5.3035
Epoch:  37/500, MSE_val: 18.3481, MAE_val: 3.3446
Epoch:  38/500, MSE_val: 22.8118, MAE_val: 4.0662
Epoch:  39/500, MSE_val: 30.3489, MAE_val: 4.8740
Epoch:  40/500, MSE_val: 19.7132, MAE_val: 3.5465
Epoch:  41/500, MSE_val: 23.2881, MAE_val: 3.8346
Epoch:  42/500, MSE_val: 22.2218, MAE_val: 4.1488
Epoch:  43/500, MSE_val: 23.1550, MAE_val: 4.1263
Epoch:  44/500, MSE_val: 28.5684, MAE_val: 4.6098
Epoch:  45/500, MSE_val: 22.4648, MAE_val: 3.6469
Epoch:  46/500, MSE_val: 27.4033, MAE_val: 4.5844
Epoch:  47/500, MSE_val: 23.9721, MAE_val: 4.2469
Epoch:  48/500, MSE_val: 21.8048, MAE_val: 3.7835
Epoch:  49/500, MSE_val: 24.0680, MAE_val: 3.9033
Epoch:  50/500, MSE_val: 27.8519, MAE_val: 4.7559
Epoch:  51/500, MSE_val: 32.6886, MAE_val: 5.0079
Epoch:  52/500, MSE_val: 29.7427, MAE_val: 4.8531
Epoch:  53/500, MSE_val: 22.3109, MAE_val: 3.9470
Epoch:  54/500, MSE_val: 29.0188, MAE_val: 3.7347
Epoch:  55/500, MSE_val: 20.2849, MAE_val: 3.4779
Epoch:  56/500, MSE_val: 31.5120, MAE_val: 4.6419
Epoch:  57/500, MSE_val: 22.7445, MAE_val: 3.6494
Epoch:  58/500, MSE_val: 27.9120, MAE_val: 4.3987
INFO: Early stopping
Early stopping
MSE_test: 14.2271, MAE_test: 2.8763
