Epoch:   1/500, MSE_val: 301.9272, MAE_val: 15.3216
Epoch:   2/500, MSE_val: 54.6107, MAE_val: 5.6178
Epoch:   3/500, MSE_val: 35.6834, MAE_val: 4.7450
Epoch:   4/500, MSE_val: 15.2823, MAE_val: 2.9325
Epoch:   5/500, MSE_val: 19.1625, MAE_val: 3.4134
Epoch:   6/500, MSE_val: 23.9513, MAE_val: 3.8382
Epoch:   7/500, MSE_val: 19.8734, MAE_val: 3.5271
Epoch:   8/500, MSE_val: 17.6383, MAE_val: 3.2572
Epoch:   9/500, MSE_val: 14.4827, MAE_val: 3.0966
Epoch:  10/500, MSE_val: 19.5416, MAE_val: 3.4239
Epoch:  11/500, MSE_val: 29.9153, MAE_val: 4.3655
Epoch:  12/500, MSE_val: 21.9416, MAE_val: 3.6705
Epoch:  13/500, MSE_val: 17.4372, MAE_val: 3.2785
Epoch:  14/500, MSE_val: 23.9750, MAE_val: 3.9952
Epoch:  15/500, MSE_val: 20.5961, MAE_val: 3.7119
Epoch:  16/500, MSE_val: 36.2404, MAE_val: 5.0472
Epoch:  17/500, MSE_val: 24.7134, MAE_val: 4.1245
Epoch:  18/500, MSE_val: 28.6384, MAE_val: 4.3622
Epoch:  19/500, MSE_val: 19.4946, MAE_val: 3.1878
Epoch:  20/500, MSE_val: 22.0491, MAE_val: 3.8218
Epoch:  21/500, MSE_val: 19.5203, MAE_val: 3.7215
Epoch:  22/500, MSE_val: 21.6043, MAE_val: 4.0097
Epoch:  23/500, MSE_val: 24.6192, MAE_val: 4.2244
Epoch:  24/500, MSE_val: 20.0110, MAE_val: 3.7816
Epoch:  25/500, MSE_val: 32.4409, MAE_val: 4.9491
Epoch:  26/500, MSE_val: 21.6161, MAE_val: 3.6659
Epoch:  27/500, MSE_val: 34.1497, MAE_val: 5.1618
Epoch:  28/500, MSE_val: 22.7905, MAE_val: 4.0215
Epoch:  29/500, MSE_val: 21.7531, MAE_val: 4.0417
Epoch:  30/500, MSE_val: 25.1237, MAE_val: 4.2376
Epoch:  31/500, MSE_val: 23.3390, MAE_val: 4.1637
Epoch:  32/500, MSE_val: 29.6735, MAE_val: 4.1539
Epoch:  33/500, MSE_val: 33.3626, MAE_val: 4.8625
Epoch:  34/500, MSE_val: 23.2838, MAE_val: 3.9014
Epoch:  35/500, MSE_val: 25.1588, MAE_val: 3.8939
Epoch:  36/500, MSE_val: 47.5753, MAE_val: 5.9010
Epoch:  37/500, MSE_val: 20.3358, MAE_val: 3.6135
Epoch:  38/500, MSE_val: 35.4600, MAE_val: 5.1685
Epoch:  39/500, MSE_val: 19.3269, MAE_val: 3.4000
Epoch:  40/500, MSE_val: 28.7753, MAE_val: 4.6665
Epoch:  41/500, MSE_val: 22.2543, MAE_val: 3.7277
Epoch:  42/500, MSE_val: 30.2524, MAE_val: 3.7844
Epoch:  43/500, MSE_val: 19.3624, MAE_val: 3.4442
Epoch:  44/500, MSE_val: 24.5587, MAE_val: 4.1459
Epoch:  45/500, MSE_val: 35.5258, MAE_val: 4.9677
Epoch:  46/500, MSE_val: 23.2694, MAE_val: 3.7998
Epoch:  47/500, MSE_val: 24.3100, MAE_val: 4.3446
Epoch:  48/500, MSE_val: 22.1526, MAE_val: 3.6776
Epoch:  49/500, MSE_val: 29.6424, MAE_val: 4.8360
Epoch:  50/500, MSE_val: 24.7903, MAE_val: 3.6541
Epoch:  51/500, MSE_val: 21.4858, MAE_val: 3.8334
Epoch:  52/500, MSE_val: 31.0444, MAE_val: 4.5279
Epoch:  53/500, MSE_val: 21.7332, MAE_val: 3.9973
Epoch:  54/500, MSE_val: 27.5300, MAE_val: 4.3560
Epoch:  55/500, MSE_val: 30.6538, MAE_val: 4.4804
Epoch:  56/500, MSE_val: 21.1031, MAE_val: 3.5767
Epoch:  57/500, MSE_val: 21.2595, MAE_val: 3.5510
Epoch:  58/500, MSE_val: 24.1951, MAE_val: 3.7412
Epoch:  59/500, MSE_val: 34.2137, MAE_val: 4.4251
INFO: Early stopping
Early stopping
MSE_test: 14.1822, MAE_test: 3.0815
