
Epoch:   1/500, MSE_val: 438.8057, MAE_val: 9.4553
Epoch:   2/500, MSE_val: 211.5785, MAE_val: 6.6507
Epoch:   3/500, MSE_val: 124.3597, MAE_val: 5.4961
Epoch:   4/500, MSE_val: 71.6950, MAE_val: 4.3450
Epoch:   5/500, MSE_val: 52.4803, MAE_val: 3.9286
Epoch:   6/500, MSE_val: 43.8039, MAE_val: 3.5217
Epoch:   7/500, MSE_val: 42.4697, MAE_val: 3.3986
Epoch:   8/500, MSE_val: 40.2436, MAE_val: 3.3386
Epoch:   9/500, MSE_val: 40.1593, MAE_val: 3.2495
Epoch:  10/500, MSE_val: 38.2007, MAE_val: 3.2338
Epoch:  11/500, MSE_val: 40.8625, MAE_val: 3.3075
Epoch:  12/500, MSE_val: 39.5745, MAE_val: 3.3650
Epoch:  13/500, MSE_val: 46.1916, MAE_val: 3.7077
Epoch:  14/500, MSE_val: 41.2938, MAE_val: 3.5092
Epoch:  15/500, MSE_val: 43.1459, MAE_val: 3.4883
Epoch:  16/500, MSE_val: 42.5548, MAE_val: 3.6225
Epoch:  17/500, MSE_val: 44.8446, MAE_val: 3.6055
Epoch:  18/500, MSE_val: 41.8463, MAE_val: 3.4999
Epoch:  19/500, MSE_val: 40.3659, MAE_val: 3.4580
Epoch:  20/500, MSE_val: 41.9104, MAE_val: 3.5460
Epoch:  21/500, MSE_val: 42.9992, MAE_val: 3.5657
Epoch:  22/500, MSE_val: 47.6415, MAE_val: 3.8773
Epoch:  23/500, MSE_val: 52.6147, MAE_val: 4.0850
Epoch:  24/500, MSE_val: 50.9472, MAE_val: 3.8642
Epoch:  25/500, MSE_val: 44.8728, MAE_val: 3.6487
Epoch:  26/500, MSE_val: 52.3441, MAE_val: 3.9708
Epoch:  27/500, MSE_val: 51.2420, MAE_val: 3.9646
Epoch:  28/500, MSE_val: 53.8287, MAE_val: 3.9201
Epoch:  29/500, MSE_val: 53.2754, MAE_val: 3.9861
Epoch:  30/500, MSE_val: 51.0834, MAE_val: 3.8065
Epoch:  31/500, MSE_val: 47.9386, MAE_val: 3.7592
Epoch:  32/500, MSE_val: 48.5143, MAE_val: 3.7621
Epoch:  33/500, MSE_val: 54.8196, MAE_val: 3.9873
Epoch:  34/500, MSE_val: 56.3792, MAE_val: 4.1635
Epoch:  35/500, MSE_val: 51.2669, MAE_val: 3.9770
Epoch:  36/500, MSE_val: 49.9021, MAE_val: 3.7915
Epoch:  37/500, MSE_val: 46.8329, MAE_val: 3.7125
Epoch:  38/500, MSE_val: 47.9078, MAE_val: 3.7871
Epoch:  39/500, MSE_val: 56.1627, MAE_val: 4.0620
Epoch:  40/500, MSE_val: 54.4809, MAE_val: 3.9656
Epoch:  41/500, MSE_val: 52.0533, MAE_val: 4.0009
Epoch:  42/500, MSE_val: 51.1273, MAE_val: 3.9314
Epoch:  43/500, MSE_val: 44.8328, MAE_val: 3.6153
Epoch:  44/500, MSE_val: 47.8262, MAE_val: 3.8629
Epoch:  45/500, MSE_val: 42.8032, MAE_val: 3.5474
Epoch:  46/500, MSE_val: 44.6027, MAE_val: 3.6286
Epoch:  47/500, MSE_val: 47.9566, MAE_val: 3.7423
Epoch:  48/500, MSE_val: 46.7097, MAE_val: 3.6461
Epoch:  49/500, MSE_val: 43.4038, MAE_val: 3.5423
Epoch:  50/500, MSE_val: 46.5942, MAE_val: 3.7069
Epoch:  51/500, MSE_val: 42.3260, MAE_val: 3.4811
Epoch:  52/500, MSE_val: 46.4882, MAE_val: 3.7632
Epoch:  53/500, MSE_val: 46.2185, MAE_val: 3.7413
Epoch:  54/500, MSE_val: 43.2697, MAE_val: 3.5223
Epoch:  55/500, MSE_val: 44.1623, MAE_val: 3.5392
Epoch:  56/500, MSE_val: 42.0133, MAE_val: 3.5887
Epoch:  57/500, MSE_val: 39.2211, MAE_val: 3.3263
Epoch:  58/500, MSE_val: 40.1582, MAE_val: 3.3398
Epoch:  59/500, MSE_val: 40.4286, MAE_val: 3.4140
Epoch:  60/500, MSE_val: 40.7569, MAE_val: 3.4051
INFO: Early stopping
Early stopping
MSE_test: 165.9926, MAE_test: 6.2379
