
Epoch:   1/500, MSE_val: 723.0333, MAE_val: 12.8151
Epoch:   2/500, MSE_val: 432.1665, MAE_val: 9.4679
Epoch:   3/500, MSE_val: 235.9432, MAE_val: 7.0164
Epoch:   4/500, MSE_val: 130.3874, MAE_val: 5.8026
Epoch:   5/500, MSE_val: 79.7536, MAE_val: 4.7674
Epoch:   6/500, MSE_val: 52.0389, MAE_val: 4.0634
Epoch:   7/500, MSE_val: 49.9931, MAE_val: 4.1430
Epoch:   8/500, MSE_val: 43.4060, MAE_val: 3.9439
Epoch:   9/500, MSE_val: 35.3853, MAE_val: 3.5077
Epoch:  10/500, MSE_val: 33.7590, MAE_val: 3.4581
Epoch:  11/500, MSE_val: 32.3864, MAE_val: 3.4520
Epoch:  12/500, MSE_val: 34.1428, MAE_val: 3.6544
Epoch:  13/500, MSE_val: 30.2315, MAE_val: 3.3556
Epoch:  14/500, MSE_val: 30.2303, MAE_val: 3.4344
Epoch:  15/500, MSE_val: 27.1237, MAE_val: 3.2946
Epoch:  16/500, MSE_val: 24.2057, MAE_val: 3.0592
Epoch:  17/500, MSE_val: 23.0574, MAE_val: 2.9586
Epoch:  18/500, MSE_val: 22.8492, MAE_val: 2.9452
Epoch:  19/500, MSE_val: 23.0256, MAE_val: 2.9579
Epoch:  20/500, MSE_val: 21.9683, MAE_val: 2.8981
Epoch:  21/500, MSE_val: 22.9458, MAE_val: 2.9857
Epoch:  22/500, MSE_val: 22.2555, MAE_val: 2.9153
Epoch:  23/500, MSE_val: 23.2084, MAE_val: 3.1046
Epoch:  24/500, MSE_val: 23.9730, MAE_val: 3.0612
Epoch:  25/500, MSE_val: 18.5783, MAE_val: 2.7058
Epoch:  26/500, MSE_val: 23.3688, MAE_val: 3.1277
Epoch:  27/500, MSE_val: 17.7232, MAE_val: 2.6644
Epoch:  28/500, MSE_val: 17.8161, MAE_val: 2.6554
Epoch:  29/500, MSE_val: 25.2775, MAE_val: 3.1329
Epoch:  30/500, MSE_val: 18.9986, MAE_val: 2.7587
Epoch:  31/500, MSE_val: 17.8614, MAE_val: 2.6691
Epoch:  32/500, MSE_val: 19.5456, MAE_val: 2.7948
Epoch:  33/500, MSE_val: 19.3393, MAE_val: 2.7532
Epoch:  34/500, MSE_val: 19.1962, MAE_val: 2.7698
Epoch:  35/500, MSE_val: 17.6741, MAE_val: 2.6141
Epoch:  36/500, MSE_val: 16.2713, MAE_val: 2.4932
Epoch:  37/500, MSE_val: 19.0014, MAE_val: 2.6737
Epoch:  38/500, MSE_val: 19.2687, MAE_val: 2.7722
Epoch:  39/500, MSE_val: 18.7748, MAE_val: 2.6896
Epoch:  40/500, MSE_val: 18.8673, MAE_val: 2.7361
Epoch:  41/500, MSE_val: 20.8622, MAE_val: 2.8722
Epoch:  42/500, MSE_val: 18.3961, MAE_val: 2.6391
Epoch:  43/500, MSE_val: 28.5568, MAE_val: 3.2772
Epoch:  44/500, MSE_val: 23.6372, MAE_val: 3.0105
Epoch:  45/500, MSE_val: 17.5786, MAE_val: 2.5681
Epoch:  46/500, MSE_val: 25.0793, MAE_val: 3.0609
Epoch:  47/500, MSE_val: 18.1339, MAE_val: 2.6740
Epoch:  48/500, MSE_val: 18.4097, MAE_val: 2.6032
Epoch:  49/500, MSE_val: 19.6442, MAE_val: 2.7440
Epoch:  50/500, MSE_val: 20.1338, MAE_val: 2.8278
Epoch:  51/500, MSE_val: 17.5475, MAE_val: 2.5672
Epoch:  52/500, MSE_val: 17.5593, MAE_val: 2.5594
Epoch:  53/500, MSE_val: 20.7060, MAE_val: 2.7532
Epoch:  54/500, MSE_val: 20.3688, MAE_val: 2.8129
Epoch:  55/500, MSE_val: 19.5713, MAE_val: 2.7671
