
Epoch:   1/500, MSE_val: 516.3967, MAE_val: 11.3754
Epoch:   2/500, MSE_val: 273.0134, MAE_val: 8.5680
Epoch:   3/500, MSE_val: 166.6055, MAE_val: 7.3903
Epoch:   4/500, MSE_val: 128.5278, MAE_val: 6.9719
Epoch:   5/500, MSE_val: 114.0372, MAE_val: 6.7941
Epoch:   6/500, MSE_val: 113.6131, MAE_val: 6.6621
Epoch:   7/500, MSE_val: 99.8655, MAE_val: 6.3390
Epoch:   8/500, MSE_val: 93.6161, MAE_val: 6.0680
Epoch:   9/500, MSE_val: 87.4799, MAE_val: 5.7656
Epoch:  10/500, MSE_val: 82.1915, MAE_val: 5.5782
Epoch:  11/500, MSE_val: 91.7365, MAE_val: 5.9797
Epoch:  12/500, MSE_val: 96.8520, MAE_val: 6.0142
Epoch:  13/500, MSE_val: 67.9109, MAE_val: 5.2251
Epoch:  14/500, MSE_val: 53.4804, MAE_val: 4.6303
Epoch:  15/500, MSE_val: 40.8347, MAE_val: 4.0008
Epoch:  16/500, MSE_val: 33.6463, MAE_val: 3.6621
Epoch:  17/500, MSE_val: 31.2426, MAE_val: 3.6038
Epoch:  18/500, MSE_val: 29.2735, MAE_val: 3.4890
Epoch:  19/500, MSE_val: 28.4698, MAE_val: 3.3698
Epoch:  20/500, MSE_val: 23.4576, MAE_val: 3.1151
Epoch:  21/500, MSE_val: 22.2377, MAE_val: 3.1006
Epoch:  22/500, MSE_val: 20.1310, MAE_val: 2.9338
Epoch:  23/500, MSE_val: 19.7413, MAE_val: 2.8542
Epoch:  24/500, MSE_val: 18.4792, MAE_val: 2.7827
Epoch:  25/500, MSE_val: 15.5378, MAE_val: 2.5951
Epoch:  26/500, MSE_val: 14.7221, MAE_val: 2.4839
Epoch:  27/500, MSE_val: 14.1991, MAE_val: 2.4264
Epoch:  28/500, MSE_val: 15.6626, MAE_val: 2.5464
Epoch:  29/500, MSE_val: 15.0639, MAE_val: 2.5300
Epoch:  30/500, MSE_val: 14.8296, MAE_val: 2.5092
Epoch:  31/500, MSE_val: 14.6446, MAE_val: 2.4942
Epoch:  32/500, MSE_val: 13.5714, MAE_val: 2.3923
Epoch:  33/500, MSE_val: 12.3194, MAE_val: 2.2509
Epoch:  34/500, MSE_val: 13.2509, MAE_val: 2.2982
Epoch:  35/500, MSE_val: 12.3937, MAE_val: 2.2667
Epoch:  36/500, MSE_val: 13.6162, MAE_val: 2.3461
Epoch:  37/500, MSE_val: 14.8397, MAE_val: 2.4545
Epoch:  38/500, MSE_val: 13.0283, MAE_val: 2.2703
Epoch:  39/500, MSE_val: 12.8870, MAE_val: 2.2921
Epoch:  40/500, MSE_val: 13.5269, MAE_val: 2.2907
Epoch:  41/500, MSE_val: 15.3531, MAE_val: 2.4831
Epoch:  42/500, MSE_val: 12.8397, MAE_val: 2.2572
Epoch:  43/500, MSE_val: 13.6272, MAE_val: 2.3431
Epoch:  44/500, MSE_val: 11.6229, MAE_val: 2.1623
Epoch:  45/500, MSE_val: 12.9784, MAE_val: 2.2018
Epoch:  46/500, MSE_val: 11.6047, MAE_val: 2.1504
Epoch:  47/500, MSE_val: 13.1826, MAE_val: 2.3166
Epoch:  48/500, MSE_val: 10.9227, MAE_val: 2.1139
Epoch:  49/500, MSE_val: 12.8179, MAE_val: 2.1652
Epoch:  50/500, MSE_val: 11.8031, MAE_val: 2.1436
Epoch:  51/500, MSE_val: 12.1980, MAE_val: 2.1907
Epoch:  52/500, MSE_val: 12.7049, MAE_val: 2.2017
Epoch:  53/500, MSE_val: 12.0351, MAE_val: 2.1710
Epoch:  54/500, MSE_val: 13.0520, MAE_val: 2.3104
Epoch:  55/500, MSE_val: 13.4531, MAE_val: 2.2639
Epoch:  56/500, MSE_val: 13.3794, MAE_val: 2.2763
Epoch:  57/500, MSE_val: 11.6957, MAE_val: 2.1522
Epoch:  58/500, MSE_val: 14.8052, MAE_val: 2.2398
Epoch:  59/500, MSE_val: 13.7051, MAE_val: 2.3186
Epoch:  60/500, MSE_val: 14.0247, MAE_val: 2.3164
Epoch:  61/500, MSE_val: 12.9965, MAE_val: 2.2096
Epoch:  62/500, MSE_val: 13.0484, MAE_val: 2.2371
Epoch:  63/500, MSE_val: 14.3985, MAE_val: 2.2422
Epoch:  64/500, MSE_val: 12.4309, MAE_val: 2.1470
Epoch:  65/500, MSE_val: 12.7081, MAE_val: 2.1224
Epoch:  66/500, MSE_val: 14.9197, MAE_val: 2.3306
Epoch:  67/500, MSE_val: 14.5286, MAE_val: 2.3128
Epoch:  68/500, MSE_val: 14.4188, MAE_val: 2.2383
Epoch:  69/500, MSE_val: 12.2836, MAE_val: 2.0780
Epoch:  70/500, MSE_val: 12.5987, MAE_val: 2.1287
Epoch:  71/500, MSE_val: 13.2074, MAE_val: 2.2040
Epoch:  72/500, MSE_val: 14.4112, MAE_val: 2.2137
Epoch:  73/500, MSE_val: 14.2887, MAE_val: 2.3140
Epoch:  74/500, MSE_val: 13.3136, MAE_val: 2.1769
Epoch:  75/500, MSE_val: 15.1243, MAE_val: 2.2499
Epoch:  76/500, MSE_val: 12.7400, MAE_val: 2.1591
Epoch:  77/500, MSE_val: 13.9677, MAE_val: 2.2551
Epoch:  78/500, MSE_val: 14.7415, MAE_val: 2.3334
Epoch:  79/500, MSE_val: 13.2694, MAE_val: 2.1649
Epoch:  80/500, MSE_val: 14.1854, MAE_val: 2.2430
Epoch:  81/500, MSE_val: 16.5402, MAE_val: 2.2947
Epoch:  82/500, MSE_val: 14.0099, MAE_val: 2.2230
Epoch:  83/500, MSE_val: 13.4847, MAE_val: 2.1925
Epoch:  84/500, MSE_val: 14.2395, MAE_val: 2.2382
Epoch:  85/500, MSE_val: 14.6340, MAE_val: 2.2707
Epoch:  86/500, MSE_val: 14.4821, MAE_val: 2.2449
Epoch:  87/500, MSE_val: 14.4624, MAE_val: 2.2442
Epoch:  88/500, MSE_val: 14.0626, MAE_val: 2.1884
Epoch:  89/500, MSE_val: 13.7200, MAE_val: 2.1551
Epoch:  90/500, MSE_val: 14.1682, MAE_val: 2.2128
Epoch:  91/500, MSE_val: 15.5273, MAE_val: 2.3055
Epoch:  92/500, MSE_val: 15.4599, MAE_val: 2.3008
Epoch:  93/500, MSE_val: 20.9765, MAE_val: 2.6432
Epoch:  94/500, MSE_val: 16.5167, MAE_val: 2.3588
Epoch:  95/500, MSE_val: 15.4176, MAE_val: 2.3100
Epoch:  96/500, MSE_val: 13.9792, MAE_val: 2.1512
Epoch:  97/500, MSE_val: 13.7541, MAE_val: 2.1386
Epoch:  98/500, MSE_val: 13.9205, MAE_val: 2.1844
INFO: Early stopping
Early stopping
MSE_test: 52.8127, MAE_test: 3.8724, MAPE_test: 11.8314
