
Epoch:   1/500, MSE_val: 742.4687, MAE_val: 13.0686
Epoch:   2/500, MSE_val: 416.2124, MAE_val: 9.2459
Epoch:   3/500, MSE_val: 220.8937, MAE_val: 6.7640
Epoch:   4/500, MSE_val: 133.0660, MAE_val: 5.7580
Epoch:   5/500, MSE_val: 89.0698, MAE_val: 5.1454
Epoch:   6/500, MSE_val: 54.7864, MAE_val: 4.2476
Epoch:   7/500, MSE_val: 55.4242, MAE_val: 4.3845
Epoch:   8/500, MSE_val: 48.1927, MAE_val: 4.0627
Epoch:   9/500, MSE_val: 41.6020, MAE_val: 3.7660
Epoch:  10/500, MSE_val: 38.2902, MAE_val: 3.6712
Epoch:  11/500, MSE_val: 35.7024, MAE_val: 3.6263
Epoch:  12/500, MSE_val: 36.9126, MAE_val: 3.7696
Epoch:  13/500, MSE_val: 33.9811, MAE_val: 3.5218
Epoch:  14/500, MSE_val: 35.0010, MAE_val: 3.7116
Epoch:  15/500, MSE_val: 29.4330, MAE_val: 3.4569
Epoch:  16/500, MSE_val: 25.8770, MAE_val: 3.1682
Epoch:  17/500, MSE_val: 24.8712, MAE_val: 3.0936
Epoch:  18/500, MSE_val: 25.5019, MAE_val: 3.1296
Epoch:  19/500, MSE_val: 28.4166, MAE_val: 3.2968
Epoch:  20/500, MSE_val: 25.9023, MAE_val: 3.1926
Epoch:  21/500, MSE_val: 23.1778, MAE_val: 2.9487
Epoch:  22/500, MSE_val: 27.1161, MAE_val: 3.1642
Epoch:  23/500, MSE_val: 27.8832, MAE_val: 3.2575
Epoch:  24/500, MSE_val: 26.3541, MAE_val: 3.0845
Epoch:  25/500, MSE_val: 22.9235, MAE_val: 2.8892
Epoch:  26/500, MSE_val: 26.9619, MAE_val: 3.2262
Epoch:  27/500, MSE_val: 18.8263, MAE_val: 2.6698
Epoch:  28/500, MSE_val: 20.2771, MAE_val: 2.7934
Epoch:  29/500, MSE_val: 25.1920, MAE_val: 3.1278
Epoch:  30/500, MSE_val: 21.7406, MAE_val: 2.8963
Epoch:  31/500, MSE_val: 16.4795, MAE_val: 2.5261
Epoch:  32/500, MSE_val: 16.7486, MAE_val: 2.5827
Epoch:  33/500, MSE_val: 19.4537, MAE_val: 2.6982
Epoch:  34/500, MSE_val: 18.7617, MAE_val: 2.7088
Epoch:  35/500, MSE_val: 16.9058, MAE_val: 2.5756
Epoch:  36/500, MSE_val: 15.9961, MAE_val: 2.4910
Epoch:  37/500, MSE_val: 17.3217, MAE_val: 2.5868
Epoch:  38/500, MSE_val: 16.3639, MAE_val: 2.5710
Epoch:  39/500, MSE_val: 16.5506, MAE_val: 2.5446
Epoch:  40/500, MSE_val: 16.3811, MAE_val: 2.5672
Epoch:  41/500, MSE_val: 17.3756, MAE_val: 2.6277
Epoch:  42/500, MSE_val: 16.0250, MAE_val: 2.4811
Epoch:  43/500, MSE_val: 22.2376, MAE_val: 2.9192
Epoch:  44/500, MSE_val: 20.2045, MAE_val: 2.8031
Epoch:  45/500, MSE_val: 15.4831, MAE_val: 2.4419
Epoch:  46/500, MSE_val: 19.9369, MAE_val: 2.7624
Epoch:  47/500, MSE_val: 15.3020, MAE_val: 2.4859
Epoch:  48/500, MSE_val: 16.4655, MAE_val: 2.5058
Epoch:  49/500, MSE_val: 16.1250, MAE_val: 2.4724
Epoch:  50/500, MSE_val: 15.4526, MAE_val: 2.4946
Epoch:  51/500, MSE_val: 16.4956, MAE_val: 2.4772
Epoch:  52/500, MSE_val: 16.4259, MAE_val: 2.4902
Epoch:  53/500, MSE_val: 16.1385, MAE_val: 2.4711
Epoch:  54/500, MSE_val: 15.9538, MAE_val: 2.4997
Epoch:  55/500, MSE_val: 15.1702, MAE_val: 2.4369
Epoch:  56/500, MSE_val: 16.0269, MAE_val: 2.4643
Epoch:  57/500, MSE_val: 18.7863, MAE_val: 2.6809
Epoch:  58/500, MSE_val: 14.7038, MAE_val: 2.3525
Epoch:  59/500, MSE_val: 14.7797, MAE_val: 2.3974
Epoch:  60/500, MSE_val: 13.7565, MAE_val: 2.2781
Epoch:  61/500, MSE_val: 14.3324, MAE_val: 2.3019
Epoch:  62/500, MSE_val: 14.3253, MAE_val: 2.3366
Epoch:  63/500, MSE_val: 14.9030, MAE_val: 2.4004
Epoch:  64/500, MSE_val: 14.5900, MAE_val: 2.3437
Epoch:  65/500, MSE_val: 16.0380, MAE_val: 2.4630
Epoch:  66/500, MSE_val: 14.8397, MAE_val: 2.3048
Epoch:  67/500, MSE_val: 13.8723, MAE_val: 2.2837
Epoch:  68/500, MSE_val: 15.1883, MAE_val: 2.3824
Epoch:  69/500, MSE_val: 15.4895, MAE_val: 2.4379
Epoch:  70/500, MSE_val: 16.1515, MAE_val: 2.4266
Epoch:  71/500, MSE_val: 17.9883, MAE_val: 2.5726
Epoch:  72/500, MSE_val: 15.8504, MAE_val: 2.4010
Epoch:  73/500, MSE_val: 16.5971, MAE_val: 2.5102
Epoch:  74/500, MSE_val: 14.1438, MAE_val: 2.3134
Epoch:  75/500, MSE_val: 18.3048, MAE_val: 2.6248
Epoch:  76/500, MSE_val: 14.6159, MAE_val: 2.3756
Epoch:  77/500, MSE_val: 15.0277, MAE_val: 2.3492
Epoch:  78/500, MSE_val: 15.8344, MAE_val: 2.4276
Epoch:  79/500, MSE_val: 18.0449, MAE_val: 2.6176
Epoch:  80/500, MSE_val: 13.6653, MAE_val: 2.2580
Epoch:  81/500, MSE_val: 15.6037, MAE_val: 2.3890
Epoch:  82/500, MSE_val: 16.8401, MAE_val: 2.4611
Epoch:  83/500, MSE_val: 16.9925, MAE_val: 2.5681
Epoch:  84/500, MSE_val: 16.8737, MAE_val: 2.4894
Epoch:  85/500, MSE_val: 16.9282, MAE_val: 2.4547
Epoch:  86/500, MSE_val: 17.1311, MAE_val: 2.4687
Epoch:  87/500, MSE_val: 15.7378, MAE_val: 2.3914
Epoch:  88/500, MSE_val: 15.9320, MAE_val: 2.4299
Epoch:  89/500, MSE_val: 16.5644, MAE_val: 2.4559
Epoch:  90/500, MSE_val: 16.2218, MAE_val: 2.4013
Epoch:  91/500, MSE_val: 15.3867, MAE_val: 2.4075
Epoch:  92/500, MSE_val: 14.3576, MAE_val: 2.2683
Epoch:  93/500, MSE_val: 17.6829, MAE_val: 2.5966
Epoch:  94/500, MSE_val: 15.9827, MAE_val: 2.4260
Epoch:  95/500, MSE_val: 15.9451, MAE_val: 2.4048
Epoch:  96/500, MSE_val: 13.1660, MAE_val: 2.1563
Epoch:  97/500, MSE_val: 14.4731, MAE_val: 2.2819
Epoch:  98/500, MSE_val: 14.5030, MAE_val: 2.2782
Epoch:  99/500, MSE_val: 12.9596, MAE_val: 2.1249
Epoch: 100/500, MSE_val: 13.8571, MAE_val: 2.2172
Epoch: 101/500, MSE_val: 14.0272, MAE_val: 2.2668
Epoch: 102/500, MSE_val: 14.1888, MAE_val: 2.2366
Epoch: 103/500, MSE_val: 14.0760, MAE_val: 2.2657
Epoch: 104/500, MSE_val: 14.2363, MAE_val: 2.2543
Epoch: 105/500, MSE_val: 14.5297, MAE_val: 2.2706
Epoch: 106/500, MSE_val: 13.6894, MAE_val: 2.2286
Epoch: 107/500, MSE_val: 15.2503, MAE_val: 2.3214
Epoch: 108/500, MSE_val: 13.2139, MAE_val: 2.1708
Epoch: 109/500, MSE_val: 13.8307, MAE_val: 2.1974
Epoch: 110/500, MSE_val: 16.3645, MAE_val: 2.4428
Epoch: 111/500, MSE_val: 13.9941, MAE_val: 2.2556
Epoch: 112/500, MSE_val: 13.4934, MAE_val: 2.1641
Epoch: 113/500, MSE_val: 13.9517, MAE_val: 2.2166
Epoch: 114/500, MSE_val: 12.1162, MAE_val: 2.0682
Epoch: 115/500, MSE_val: 14.2067, MAE_val: 2.2621
Epoch: 116/500, MSE_val: 15.1272, MAE_val: 2.3926
Epoch: 117/500, MSE_val: 14.4306, MAE_val: 2.2201
Epoch: 118/500, MSE_val: 13.1985, MAE_val: 2.1594
Epoch: 119/500, MSE_val: 14.5533, MAE_val: 2.2608
Epoch: 120/500, MSE_val: 13.4204, MAE_val: 2.2100
Epoch: 121/500, MSE_val: 13.0792, MAE_val: 2.1698
Epoch: 122/500, MSE_val: 14.8220, MAE_val: 2.2823
Epoch: 123/500, MSE_val: 12.7089, MAE_val: 2.1239
Epoch: 124/500, MSE_val: 13.5702, MAE_val: 2.1947
Epoch: 125/500, MSE_val: 14.5495, MAE_val: 2.2803
Epoch: 126/500, MSE_val: 13.0521, MAE_val: 2.1399
Epoch: 127/500, MSE_val: 13.7110, MAE_val: 2.2209
Epoch: 128/500, MSE_val: 13.7957, MAE_val: 2.2338
Epoch: 129/500, MSE_val: 13.5275, MAE_val: 2.1452
Epoch: 130/500, MSE_val: 13.6786, MAE_val: 2.2146
Epoch: 131/500, MSE_val: 12.8389, MAE_val: 2.1313
Epoch: 132/500, MSE_val: 13.7527, MAE_val: 2.1894
Epoch: 133/500, MSE_val: 14.9613, MAE_val: 2.2935
Epoch: 134/500, MSE_val: 12.7862, MAE_val: 2.1017
Epoch: 135/500, MSE_val: 13.0722, MAE_val: 2.1164
Epoch: 136/500, MSE_val: 13.2024, MAE_val: 2.1305
Epoch: 137/500, MSE_val: 13.8392, MAE_val: 2.2241
Epoch: 138/500, MSE_val: 13.6062, MAE_val: 2.1424
Epoch: 139/500, MSE_val: 13.0595, MAE_val: 2.1399
Epoch: 140/500, MSE_val: 14.5221, MAE_val: 2.2637
Epoch: 141/500, MSE_val: 13.5143, MAE_val: 2.1844
Epoch: 142/500, MSE_val: 14.1004, MAE_val: 2.2530
Epoch: 143/500, MSE_val: 13.2681, MAE_val: 2.1522
Epoch: 144/500, MSE_val: 12.9023, MAE_val: 2.1172
Epoch: 145/500, MSE_val: 12.8133, MAE_val: 2.1077
Epoch: 146/500, MSE_val: 14.4820, MAE_val: 2.2732
Epoch: 147/500, MSE_val: 14.0534, MAE_val: 2.2294
Epoch: 148/500, MSE_val: 13.5564, MAE_val: 2.1814
Epoch: 149/500, MSE_val: 13.0915, MAE_val: 2.1407
Epoch: 150/500, MSE_val: 14.7297, MAE_val: 2.2864
Epoch: 151/500, MSE_val: 13.7838, MAE_val: 2.2144
Epoch: 152/500, MSE_val: 14.2296, MAE_val: 2.2523
Epoch: 153/500, MSE_val: 12.3641, MAE_val: 2.0714
Epoch: 154/500, MSE_val: 13.5288, MAE_val: 2.1475
Epoch: 155/500, MSE_val: 12.8321, MAE_val: 2.1441
Epoch: 156/500, MSE_val: 12.6013, MAE_val: 2.0721
Epoch: 157/500, MSE_val: 14.1404, MAE_val: 2.2454
Epoch: 158/500, MSE_val: 12.3103, MAE_val: 2.0709
Epoch: 159/500, MSE_val: 13.5624, MAE_val: 2.2090
Epoch: 160/500, MSE_val: 11.7989, MAE_val: 1.9895
Epoch: 161/500, MSE_val: 12.4853, MAE_val: 2.0884
Epoch: 162/500, MSE_val: 14.0351, MAE_val: 2.2468
Epoch: 163/500, MSE_val: 13.4467, MAE_val: 2.2102
Epoch: 164/500, MSE_val: 12.9722, MAE_val: 2.1536
Epoch: 165/500, MSE_val: 12.9116, MAE_val: 2.1377
Epoch: 166/500, MSE_val: 13.6122, MAE_val: 2.2105
Epoch: 167/500, MSE_val: 13.5034, MAE_val: 2.1364
Epoch: 168/500, MSE_val: 15.7117, MAE_val: 2.3546
Epoch: 169/500, MSE_val: 14.8485, MAE_val: 2.2700
Epoch: 170/500, MSE_val: 13.1181, MAE_val: 2.1058
Epoch: 171/500, MSE_val: 14.4859, MAE_val: 2.2624
Epoch: 172/500, MSE_val: 13.3277, MAE_val: 2.1722
Epoch: 173/500, MSE_val: 13.2005, MAE_val: 2.1579
Epoch: 174/500, MSE_val: 13.2055, MAE_val: 2.1624
Epoch: 175/500, MSE_val: 12.7557, MAE_val: 2.0931
Epoch: 176/500, MSE_val: 14.0979, MAE_val: 2.2019
Epoch: 177/500, MSE_val: 13.6536, MAE_val: 2.1861
Epoch: 178/500, MSE_val: 13.9242, MAE_val: 2.1826
Epoch: 179/500, MSE_val: 12.5040, MAE_val: 2.0552
Epoch: 180/500, MSE_val: 13.3814, MAE_val: 2.1369
Epoch: 181/500, MSE_val: 13.3108, MAE_val: 2.1647
Epoch: 182/500, MSE_val: 12.8892, MAE_val: 2.1091
Epoch: 183/500, MSE_val: 13.6870, MAE_val: 2.1898
Epoch: 184/500, MSE_val: 14.6879, MAE_val: 2.2780
Epoch: 185/500, MSE_val: 12.6760, MAE_val: 2.0872
Epoch: 186/500, MSE_val: 12.9481, MAE_val: 2.0975
Epoch: 187/500, MSE_val: 13.9163, MAE_val: 2.1856
Epoch: 188/500, MSE_val: 13.8953, MAE_val: 2.1970
Epoch: 189/500, MSE_val: 17.4441, MAE_val: 2.4082
Epoch: 190/500, MSE_val: 13.2013, MAE_val: 2.1297
Epoch: 191/500, MSE_val: 13.6958, MAE_val: 2.1449
Epoch: 192/500, MSE_val: 15.4327, MAE_val: 2.2527
Epoch: 193/500, MSE_val: 13.1781, MAE_val: 2.1445
Epoch: 194/500, MSE_val: 13.4785, MAE_val: 2.2147
Epoch: 195/500, MSE_val: 14.9196, MAE_val: 2.2864
Epoch: 196/500, MSE_val: 14.4978, MAE_val: 2.2596
Epoch: 197/500, MSE_val: 15.0984, MAE_val: 2.2884
Epoch: 198/500, MSE_val: 15.9473, MAE_val: 2.3698
Epoch: 199/500, MSE_val: 13.4348, MAE_val: 2.1143
Epoch: 200/500, MSE_val: 14.7354, MAE_val: 2.2818
Epoch: 201/500, MSE_val: 15.5615, MAE_val: 2.3333
Epoch: 202/500, MSE_val: 14.7088, MAE_val: 2.2757
Epoch: 203/500, MSE_val: 14.3646, MAE_val: 2.2141
Epoch: 204/500, MSE_val: 14.8303, MAE_val: 2.2474
Epoch: 205/500, MSE_val: 13.1753, MAE_val: 2.1011
Epoch: 206/500, MSE_val: 14.1182, MAE_val: 2.1963
Epoch: 207/500, MSE_val: 16.1749, MAE_val: 2.4062
Epoch: 208/500, MSE_val: 13.8049, MAE_val: 2.2163
Epoch: 209/500, MSE_val: 12.7620, MAE_val: 2.1051
Epoch: 210/500, MSE_val: 13.0820, MAE_val: 2.1138
INFO: Early stopping
Early stopping
MSE_test: 38.7029, MAE_test: 3.4175, MAPE_test: 10.7107
